ortho,phon,lemme,Lexique383 cgram,Lexique383 freqlemfilms2,Lexique383 freqfilms2,Lexique383 islem,Lexique383 nblettres,Lexique383 puorth,Lexique383 puphon,Lexique383 nbsyll,Lexique383 cgramortho,Megalex-auditory rt.m,Megalex-auditory rt.sd,Megalex-auditory rt.n,Megalex-auditory zrt.m,Megalex-auditory zrt.sd,Megalex-auditory zrt.n,Megalex-auditory acy,Megalex-auditory acy.n,Megalex-auditory nbphon,Megalex-auditory puPhon,Megalex-auditory pld20,Megalex-auditory accd,Megalex-auditory fb,Megalex-auditory ff,Megalex-auditory ft,node,freqlemfilms2,freqlemlivres,freqfilms2,freqlivres,all,replace,delins
radier,Radje,radier,NOM,0.03,0.03,1,6,6,5,2,"NOM,VER",1076.4108,162.67844,36,0.1309971486,0.9852768,36,0.8372093,43,5,5,1.45,530,0.07000001,0.23,0.3,104843,1.33,0.27,0.2,0.07,41,28,13
radieuse,Radj2z,radieux,ADJ,3.88,1.47,0,8,0,0,2,ADJ,1147.4674,209.48758,43,0.4671060443,0.8445175,43,1.0,43,6,6,2.35,848,4.39000006,1.47,5.86,104846,3.88,12.09,1.47,4.39,5,0,5
radieux,Radj2,radieux,ADJ,3.88,2.19,1,7,7,5,2,ADJ,1099.196,190.78861,45,0.2499143074,0.8287412,45,1.0,46,5,5,1.8,675,6.54999997,2.19,8.74,104849,3.88,12.09,2.19,6.55,19,14,5
radin,Rad5,radin,ADJ,3.51,2.69,1,5,5,4,2,"ADJ,NOM",971.1016,167.44345,48,-0.6364630542,0.7728664,48,1.0,49,4,4,1.35,460,1.42000002,3.51,4.93,104850,3.51,1.55,2.69,1.28,25,19,6
radin,Rad5,radin,ADJ,3.51,2.69,1,5,5,4,2,"ADJ,NOM",971.1016,167.44345,48,-0.6364630542,0.7728664,48,1.0,49,4,4,1.35,460,1.42000002,3.51,4.93,104851,1.1,0.34,0.82,0.14,25,19,6
radin,Rad5,radin,NOM,1.1,0.82,1,5,5,4,2,"ADJ,NOM",971.1016,167.44345,48,-0.6364630542,0.7728664,48,1.0,49,4,4,1.35,460,1.42000002,3.51,4.93,104850,3.51,1.55,2.69,1.28,25,19,6
radin,Rad5,radin,NOM,1.1,0.82,1,5,5,4,2,"ADJ,NOM",971.1016,167.44345,48,-0.6364630542,0.7728664,48,1.0,49,4,4,1.35,460,1.42000002,3.51,4.93,104851,1.1,0.34,0.82,0.14,25,19,6
radine,Radin,radin,NOM,1.1,0.02,0,6,0,0,2,"ADJ,NOM,VER",1090.2679,139.18146,42,0.2679191395,0.8543678,42,0.9545455,44,5,5,1.65,679,0.80999998,0.56,1.37,104853,3.51,1.55,0.5,0.2,22,16,6
radine,Radin,radin,NOM,1.1,0.02,0,6,0,0,2,"ADJ,NOM,VER",1090.2679,139.18146,42,0.2679191395,0.8543678,42,0.9545455,44,5,5,1.65,679,0.80999998,0.56,1.37,104854,1.1,0.34,0.02,0.07,22,16,6
radine,Radin,radin,ADJ,3.51,0.5,0,6,0,0,2,"ADJ,NOM,VER",1090.2679,139.18146,42,0.2679191395,0.8543678,42,0.9545455,44,5,5,1.65,679,0.80999998,0.56,1.37,104853,3.51,1.55,0.5,0.2,22,16,6
radine,Radin,radin,ADJ,3.51,0.5,0,6,0,0,2,"ADJ,NOM,VER",1090.2679,139.18146,42,0.2679191395,0.8543678,42,0.9545455,44,5,5,1.65,679,0.80999998,0.56,1.37,104854,1.1,0.34,0.02,0.07,22,16,6
radine,Radin,radiner,VER,0.29,0.04,0,6,0,0,2,"ADJ,NOM,VER",1090.2679,139.18146,42,0.2679191395,0.8543678,42,0.9545455,44,5,5,1.65,679,0.80999998,0.56,1.37,104855,0.29,2.03,0.04,0.54,22,16,6
radis,Radi,radis,NOM,1.81,1.81,1,5,5,4,2,NOM,1074.6352,167.61409,44,0.124890065,1.122024,44,0.8979592,49,4,4,1.2,549,3.10999998,1.81,4.92,104931,1.81,3.11,1.81,3.11,66,51,15
radotages,RadotaZ,radotage,NOM,0.36,0.09,0,9,0,6,3,NOM,1148.0052,197.41843,34,0.7129851698,1.0212343,34,0.8085106,47,7,6,2.25,882,0.46999998,0.09,0.56,104945,0.36,0.81,0.09,0.47,1,1,0
radotait,RadotE,radoter,VER,2.04,0.0,0,8,0,0,3,VER,1023.6322,184.28652,45,-0.2740925167,0.86318,45,0.9574468,47,6,6,2.55,610,0.40999999,0.0,0.41,104946,2.04,2.3,0.0,0.41,7,7,0
radoteur,Radot9R,radoteur,ADJ,0.02,0.02,1,8,7,6,3,"ADJ,NOM",1102.0256,180.54015,33,0.248071593,0.8145542,33,0.7727273,44,7,6,2.2,822,0.07000001,0.23,0.3,104952,0.02,0.07,0.02,0.0,1,1,0
radoteur,Radot9R,radoteur,ADJ,0.02,0.02,1,8,7,6,3,"ADJ,NOM",1102.0256,180.54015,33,0.248071593,0.8145542,33,0.7727273,44,7,6,2.2,822,0.07000001,0.23,0.3,104953,0.22,0.27,0.21,0.07,1,1,0
radoteur,Radot9R,radoteur,NOM,0.22,0.21,1,8,7,6,3,"ADJ,NOM",1102.0256,180.54015,33,0.248071593,0.8145542,33,0.7727273,44,7,6,2.2,822,0.07000001,0.23,0.3,104952,0.02,0.07,0.02,0.0,1,1,0
