idx,degree
5420,9
5421,2
5422,1
5423,2
5424,1
5425,2
5427,7
5428,1
5429,3
5430,8
5438,1
5461,8
5475,6
5476,2
5484,2
5494,2
5496,1
5497,2
5498,3
5504,6
5508,6
5510,1
5512,1
5516,1
5539,1
5541,1
5543,4
5550,6
5553,4
5554,12
5557,4
5560,1
5562,4
5565,2
5566,1
5600,1
5601,1
5604,2
5607,1
5609,1
5611,1
5613,2
5615,3
5618,1
5628,3
5629,2
5630,2
5644,1
5645,1
5650,2
5661,3
5670,2
5672,1
5673,1
5679,1
5685,2
5698,2
5699,1
5709,1
5720,1
5724,1
5725,1
5727,1
5732,1
5739,1
5745,1
5746,2
5750,1
5755,1
5777,1
5779,1
5783,1
5786,1
5787,1
5788,1
5790,1
5792,1
5794,1
5795,1
5796,1
5801,1
5807,1
5810,2
5819,1
5820,1
5821,1
5823,1
5825,3
5835,1
5836,1
5858,1
5871,8
5891,1
5902,1
5918,8
5923,1
5936,2
5944,6
5945,5
5950,2
5952,1
5956,1
5958,1
5960,1
6008,2
6010,1
6013,1
6018,2
6024,1
6034,2
6043,1
6044,1
6045,2
6053,1
6062,1
6066,2
6067,1
6071,1
6073,1
6075,1
6079,2
6089,1
6098,1
6099,1
6132,1
6133,1
6139,2
6141,8
6143,2
6149,9
6151,1
6153,2
6154,2
6158,3
6161,1
6165,4
6166,10
6167,4
6168,4
6172,9
6173,6
6175,10
6176,2
6177,8
6178,3
6179,9
6180,9
6182,1
6184,5
6187,1
6189,1
6190,1
6191,2
6198,1
6199,10
6200,2
6201,1
6202,1
6209,4
6211,1
6212,1
6215,4
6220,4
6222,3
6226,2
6227,1
6228,1
6231,1
6232,2
6246,5
6247,4
6248,1
6252,8
6253,4
6257,11
6259,1
6260,1
6263,3
6264,3
6269,5
6270,4
6271,1
6274,15
6275,9
6277,8
6281,2
6282,7
6283,1
6284,2
6285,5
6294,6
6300,12
6303,7
6305,6
6309,9
6310,4
6312,5
6315,5
6316,1
6318,1
6319,4
6325,2
6326,8
6327,3
6328,4
6331,5
6335,7
6337,1
6339,1
6340,5
6346,1
6347,1
6351,5
6355,2
6356,3
6358,6
6359,2
6362,2
6363,5
6364,5
6367,2
6368,7
6372,2
6373,4
6376,2
6381,12
6382,5
6383,3
6385,2
6386,3
6387,1
6389,6
6390,1
6391,1
6392,1
6393,7
6394,6
6402,8
6403,7
6404,1
6409,14
6410,9
6413,10
6414,7
6415,9
6416,1
6417,8
6420,10
6422,3
6426,2
6430,4
6431,2
6433,8
6434,1
6441,3
6444,3
6445,11
6446,7
6449,7
6454,7
6455,1
6456,9
6461,3
6462,2
6465,8
6466,6
6467,4
6470,2
6475,8
6476,3
6481,1
6482,5
6483,1
6484,1
6486,1
6490,3
6491,6
6492,12
6493,8
6496,5
6501,1
6502,2
6503,1
6505,6
6507,6
6508,2
6509,12
6511,1
6518,6
6519,1
6520,9
6521,9
6522,10
6523,5
6525,3
6526,7
6527,9
6529,6
6530,8
6531,1
6536,11
6537,3
6538,4
6539,9
6542,2
6543,6
6544,2
6546,8
6548,3
6549,8
6551,13
6552,6
6553,2
6554,10
6555,8
6556,8
6557,3
6558,4
6559,5
6562,4
6565,1
6566,1
6568,2
6573,4
6575,9
