idx,name,ortho,phono
1373,1373,avow,xvW
1375,1375,await,xwet
1376,1376,awake,xwek
1377,1377,awaken,xwek|n
1378,1378,award,xword
1379,1379,aware,xwEr
1380,1380,awash,xwcS
1381,1381,awe,c
1382,1382,aweary,xwIri
1383,1383,aweigh,xwe
1386,1386,awful,cfL
1387,1387,awhile,xhwYl
1388,1388,awhirl,xhwRl
1390,1390,awn,cn
1391,1391,awning,cnIG
1392,1392,AWOL,ewcl
1393,1393,awry,xrY
1394,1394,axe,@ks
1395,1395,axial,@ksiL
1398,1398,axis,@ks|s
1399,1399,axle,@ksL
1400,1400,ay,Y
1401,1401,ayah,Yx
1405,1405,azure,@ZX
1406,1406,b,bi
1407,1407,babble,b@bL
1408,1408,babe,beb
1409,1409,Babel,bebL
1412,1412,baby,bebi
1418,1418,back,b@k
1425,1425,bacon,bek|n
1428,1428,bad,b@d
1429,1429,badge,b@J
1430,1430,badger,b@JX
1433,1433,baffle,b@fL
1434,1434,bag,b@g
1437,1437,bagel,begL
1439,1439,baggy,b@gi
1440,1440,bagnio,b@nyo
1442,1442,baht,bat
1443,1443,bail,bel
1444,1444,bailiff,belxf
1446,1446,bailsman,belzmxn
1447,1447,bairn,bErn
1448,1448,bait,bet
1449,1449,baize,bez
1450,1450,bake,bek
1457,1457,bald,bcld
1462,1462,baleen,bxlin
1464,1464,balk,bck
1465,1465,ball,bcl
1466,1466,ballad,b@lxd
1467,1467,ballast,b@l|st
1470,1470,ballet,b@le
1472,1472,balloon,bxlun
1473,1473,ballot,b@l|t
1476,1476,balm,bam
1477,1477,balsa,bclsx
1478,1478,balsam,bclsxm
1482,1482,ban,b@n
1485,1485,banana,b|n@nx
1486,1486,band,b@nd
1487,1487,bandage,b@ndIJ
1494,1494,bandoleer,b@ndxlIr
1497,1497,bandy,b@ndi
1498,1498,bane,ben
1499,1499,bang,b@G
1500,1500,bangle,b@GgL
1501,1501,bani,bani
1502,1502,banish,b@nIS
1503,1503,banister,b@n|stX
1504,1504,banjo,b@nJo
1505,1505,bank,b@Gk
1508,1508,banner,b@nX
1510,1510,banns,b@nz
1513,1513,banshee,b@nSi
1514,1514,bantam,b@ntxm
1515,1515,banter,b@ntX
1517,1517,Bantu,b@ntu
1518,1518,banyan,b@nyxn
1524,1524,bar,bar
1525,1525,barb,barb
1532,1532,barbed,barbd
1534,1534,barber,barbX
1539,1539,bard,bard
1540,1540,bare,bEr
1541,1541,bargain,barg|n
1542,1542,barge,barJ
1545,1545,bark,bark
1547,1547,barker,barkX
1548,1548,barley,barli
1549,1549,barn,barn
1554,1554,baron,b@rxn
1557,1557,barony,b@rxni
1558,1558,baroque,bXok
1559,1559,barouche,bxruS
1564,1564,barrel,b@rL
1567,1567,barrier,b@riX
1568,1568,barrister,b@r|stX
1570,1570,barrow,b@ro
1572,1572,barter,bartX
1573,1573,basal,besL
1574,1574,basalt,bxsclt
