idx,degree
6538,2
6539,3
6542,3
6543,3
6544,2
6546,2
6548,1
6551,3
6552,1
6553,1
6554,2
6555,2
6556,9
6559,2
6562,2
6566,1
6568,2
6572,1
6573,1
6575,2
6577,3
6581,1
6584,1
6585,2
6586,2
6587,3
6588,1
6594,2
6595,1
6596,2
6597,2
6599,2
6601,4
6605,2
6606,3
6611,9
6612,1
6616,2
6619,1
6620,3
6624,1
6625,1
6628,3
6630,1
6631,1
6633,1
6635,1
6639,1
6643,1
6644,10
6646,1
6650,2
6653,3
6664,1
6671,1
6690,1
6695,3
6696,2
6699,4
6700,1
6708,1
6718,3
6719,1
6731,2
6732,1
6736,3
6737,3
6739,2
6741,1
6743,2
6746,1
6747,1
6748,1
6749,3
6750,1
6753,1
6759,3
6761,2
6762,1
6771,1
6777,3
6778,8
6780,2
6782,6
6790,2
6791,3
6792,1
6798,1
6802,1
6804,1
6807,2
6809,4
6810,1
6812,2
6815,1
6820,2
6821,2
6822,5
6823,1
6824,1
6825,1
6826,1
6827,1
6828,3
6830,1
6833,1
6836,1
6841,3
6842,1
6846,1
6850,4
6855,3
6857,1
6860,1
6861,2
6865,1
6866,1
6870,3
6871,1
6873,1
6879,1
6880,1
6883,1
6884,1
6885,1
6889,3
6891,3
6896,1
6898,3
6899,4
6904,1
6905,2
6910,1
6913,1
6914,1
6919,3
6920,3
6922,2
6923,2
6925,1
6926,2
6933,5
6935,2
6936,1
6938,2
6940,2
6941,2
6943,4
6944,1
6945,1
6949,1
6950,1
6954,1
6955,3
6960,1
6962,1
6969,1
6970,2
6971,3
6977,2
6978,1
6979,1
6990,1
6993,3
6994,1
6995,4
6997,2
6999,2
7000,1
7002,1
7011,1
7018,4
7019,1
7023,4
7031,1
7035,2
7037,2
7038,1
7040,2
7041,1
7042,9
7043,3
7048,1
7049,1
7055,1
7057,1
7063,3
7071,1
7074,1
7085,1
7086,2
7092,3
7098,2
7101,1
7117,1
7121,1
7122,1
7127,1
7134,2
7138,1
7141,2
7143,1
7144,1
7145,2
7146,1
7148,1
7150,1
7153,1
7156,1
7158,1
7160,2
7161,4
7162,1
7167,1
7168,1
7171,3
7172,1
7173,1
7174,1
7176,1
7186,4
7187,1
7188,1
7193,1
7195,2
7196,2
7198,1
7200,3
7201,2
7203,2
7204,2
7205,1
7206,8
7210,1
7213,1
7214,1
7215,1
7216,3
7218,2
7219,2
7220,1
7221,3
7224,2
7228,1
7229,1
7233,1
7234,6
7237,2
7239,4
7240,1
7241,2
7244,1
7247,1
7248,1
7249,2
7250,3
7251,2
7252,3
7253,7
7254,10
7255,4
7256,3
7257,2
7260,6
7261,1
7263,3
7265,2
7270,2
7271,1
7274,3
7276,1
7279,1
7282,3
7283,1
7287,5
7288,2
7289,1
7292,2
7293,1
7294,1
7298,6
7299,1
7304,1
7305,2
7310,2
7313,1
7317,2
7318,1
7321,1
7327,1
7328,2
7332,2
7333,1
7338,3
7339,3
7340,4
7341,2
7343,2
7345,2
7349,1
7356,2
7357,2
7358,3
7359,1
7363,3
7364,2
7366,1
7367,1
7368,1
7369,3
7370,3
7371,3
7373,1
7374,1
7375,1
7379,4
7380,2
7387,1
7388,10
7390,1
7391,3
7393,2
7395,1
7398,1
7399,1
7408,6
7410,2
7411,2
7413,1
7414,1
7415,2
7416,1
7417,2
7419,1
7421,1
7423,2
7424,1
7426,1
7427,1
7429,2
7432,3
7433,1
7435,2
7436,3
7437,2
7438,1
7439,1
7440,1
7443,2
7445,1
7446,2
7449,2
7450,1
7451,1
7452,4
7454,1
7456,2
7461,1
7463,2
7465,8
7467,1
7468,2
7469,1
7472,3
7474,1
7475,1
7477,1
7483,2
7488,1
7489,2
7490,2
7493,2
7495,1
7496,2
7500,2
7502,1
7504,4
7506,2
7507,1
7508,1
7512,2
7513,1
7514,1
7515,2
7521,1
7522,3
7524,1
7525,4
7526,3
7527,1
7528,1
7529,4
7531,1
7539,1
7556,1
7557,1
7559,3
7560,1
7562,1
7564,3
7570,3
7571,1
7574,1
7576,4
7577,2
7581,2
7582,2
7585,1
7586,1
7591,3
7592,1
7596,1
7600,1
7602,2
7603,2
7604,1
7605,1
7606,3
7607,2
7611,2
7613,1
7616,4
7621,1
7630,1
7631,4
7632,2
7634,2
7637,4
7638,3
7639,1
7640,2
7644,1
7646,1
7647,1
7650,1
7651,2
7654,1
7656,2
7657,1
7658,2
7661,1
7668,2
7671,1
7673,1
7674,1
7676,4
7679,2
7680,1
7682,2
7683,1
7685,1
7687,3
7691,3
7693,2
7698,1
7704,4
7705,4
7706,1
7709,4
7713,3
7714,1
7715,1
7716,9
7717,3
7723,2
7724,3
7725,1
7726,1
7727,2
7728,2
7732,1
7733,1
7735,1
7736,2
7737,3
7738,1
7742,2
7755,1
7758,1
7760,1
7761,1
7765,4
7766,2
7767,1
7770,1
7771,2
7779,7
7788,1
7789,4
7790,1
7792,1
7793,3
7795,1
7797,3
7808,2
7810,4
7811,2
7814,1
7816,2
7819,8
7823,1
7826,1
7827,1
7852,1
7853,1
7854,1
7859,1
7866,4
7867,1
7868,1
7876,1
7878,1
7883,2
7885,1
7886,2
7891,7
7900,1
7902,2
7904,2
7905,1
7907,1
7915,1
7917,1
7921,2
7923,2
7932,4
7933,2
7934,1
7935,2
7936,1
7937,1
7940,2
7941,2
7943,2
7944,1
7945,1
7947,1
7948,2
7949,1
7950,2
7952,8
7953,1
7956,1
7957,2
7959,3
7968,2
7971,2
7972,1
7976,1
7977,1
7988,3
7990,1
7992,1
8002,2
8004,1
8005,1
8008,2
8010,1
8013,1
8014,2
8019,1
8020,1
8021,2
8036,2
8042,1
8055,1
8056,2
8062,4
8064,1
8073,1
8076,2
8081,2
8093,1
8096,1
8098,1
8100,1
8109,1
8112,3
8122,1
8123,1
8124,1
8125,1
8126,3
8127,2
8129,1
8132,2
8133,1
8134,2
8137,1
8138,3
8141,2
8142,2
8143,1
8146,1
8147,1
8148,1
8152,1
8153,1
8155,1
8217,9
8222,1
8224,2
8225,1
8229,2
8230,8
8232,2
8237,3
8246,1
8251,2
8252,1
8256,3
8257,3
8258,1
8259,1
8262,1
8269,4
8270,16
8271,2
8273,1
8274,1
8276,1
8277,1
8278,1
8279,1
8281,1
8283,1
8292,1
8294,1
8298,1
8318,1
8320,1
8323,1
8331,1
8333,1
8335,1
8337,1
8340,1
8342,1
8343,1
8348,1
8349,1
8352,1
8353,1
8354,1
8356,3
8359,1
8364,1
8366,1
8382,1
8393,1
8399,1
8401,1
8469,1
8470,1
8473,1
8475,1
8477,1
8478,1
8481,14
8492,2
8495,1
8499,1
8508,1
8526,1
8527,2
8529,7
8535,1
8538,1
8596,1
8598,1
8642,2
8665,1
8674,2
8675,1
8677,1
8683,1
8686,1
8694,1
8697,1
8702,2
8723,1
8727,2
8728,1
8730,1
8745,1
8750,1
8759,1
8760,1
8771,2
8772,2
8774,1
8778,1
8792,6
8808,1
8809,1
8827,1
8829,3
8831,1
8833,12
8836,3
