lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
alkalize,498,alkalize,@lkxlYz,1,0,1,0,1,-1,-1,-1,-1
all,501,all,cl,25,12,13,19,6,0.31,0.515151515,0.485380117,0.666666667
allah,502,Allah,@lx,8,5,3,1,7,0.357142857,1,-1,0.476190476
allay,503,allay,xle,12,8,4,9,3,0.196969697,0.285714286,0.333333333,0.333333333
allegation,504,allegation,@lIgeS|n,1,0,1,1,0,-1,-1,-1,-1
allege,505,allege,xlEJ,3,2,1,3,0,1,1,1,-1
alleluia,511,alleluia,@lxluyx,1,0,1,1,0,-1,-1,-1,-1
allergy,516,allergy,@lXJi,1,0,1,0,1,-1,-1,-1,-1
alley,519,alley,@li,22,13,9,16,6,0.216450216,0.294871795,0.333333333,0.666666667
alliance,521,alliance,xlY|ns,1,0,1,1,0,-1,-1,-1,-1
allied,522,allied,xlYd,12,10,2,6,6,0.136363636,0.2,0.133333333,0.466666667
alliterate,524,alliterate,xlItXet,1,0,1,1,0,-1,-1,-1,-1
allocation,527,allocation,@lxkeS|n,1,1,0,1,0,-1,-1,-1,-1
allot,528,allot,xlat,10,9,1,5,5,0.444444444,0.444444444,1,1
allow,529,allow,xlW,5,4,1,2,3,0.1,0.166666667,0,0.333333333
alloy,530,alloy,@lO,7,7,0,2,5,0.523809524,0.523809524,1,1
allude,532,allude,xlud,6,3,3,3,3,0.066666667,0.333333333,0,0.333333333
allure,533,allure,xlUr,4,3,1,4,0,0.5,1,0.5,-1
ally,535,ally,@lY,9,8,1,4,5,0.444444444,0.464285714,1,1
alms,541,alms,amz,2,2,0,1,1,0,0,-1,-1
aloe,542,aloe,@lo,20,11,9,14,6,0.231578947,0.309090909,0.373626374,0.666666667
aloft,543,aloft,xlcft,1,0,1,1,0,-1,-1,-1,-1
alone,545,alone,xlon,7,5,2,5,2,0.142857143,0.1,0.3,0
along,546,along,xlcG,2,0,2,2,0,0,-1,0,-1
aloof,549,aloof,xluf,1,1,0,0,1,-1,-1,-1,-1
aloud,550,aloud,xlWd,5,3,2,2,3,0.2,0.333333333,1,0.333333333
alp,551,alp,@lp,6,6,0,1,5,0.666666667,0.666666667,-1,1
also,561,also,clso,1,1,0,0,1,-1,-1,-1,-1
