Item,IsWord,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
trespassed,TRUE,2,8,733,9,1,0,16,34,3,40123,8,2
tress,TRUE,1,4,411,6,26,13,6,38,3,170140,5,1
trestle,TRUE,2,6,455,8,15,3,8,120,5,227251,7,1
trestles,TRUE,2,7,482,8,3,2,0,24,1,77089,7,2
treyaxpt,FALSE,2,6,477,NA,0,NA,0,0,0,0,4,NA
treyltmihn,FALSE,2,8,568,NA,0,NA,0,0,0,0,5,NA
treyngk,FALSE,1,5,344,NA,3,NA,0,0,0,0,4,NA
treysmaats,FALSE,2,8,651,NA,0,NA,0,0,0,0,5,NA
triad,TRUE,2,5,471,6,3,6,175,486,16,1520756,6,1
trial,TRUE,1,4,411,6,24,7,2518,21847,9036,56548156,5,1
trials,TRUE,1,5,546,6,15,6,197,6225,1032,15454516,5,2
triangle,TRUE,3,8,509,9,2,1,218,1984,233,7810443,9,1
triangles,TRUE,3,9,645,9,1,2,21,511,25,1388860,9,2
triangular,TRUE,4,10,849,10,0,0,12,601,26,1538792,8,2
tribal,TRUE,2,6,404,7,9,2,95,4923,494,8463131,7,2
tribalism,TRUE,4,10,638,7,1,0,0,157,9,87794,9,3
tribe,TRUE,1,4,503,6,21,11,325,3743,476,7895214,5,1
tribes,TRUE,1,5,450,7,5,5,99,3279,225,6852777,6,2
tribesman,TRUE,2,8,479,8,1,1,3,41,4,50697,7,1
tribesmen,TRUE,2,8,655,8,1,1,12,281,18,151807,7,1
tribunal,TRUE,3,9,513,9,0,1,55,1464,315,5590239,5,2
tribune,TRUE,2,7,623,8,2,1,103,2194,503,8797383,8,1
tributary,TRUE,4,10,659,9,1,0,16,316,15,835802,11,1
tribute,TRUE,2,7,483,8,4,2,267,2768,666,8374804,8,1
triceps,TRUE,2,7,567,6,0,0,13,295,17,205203,6,1
trichrome,TRUE,2,7,629,6,0,0,0,10,0,17426,5,NA
trick,TRUE,1,4,313,6,56,19,2411,5087,824,8209875,5,1
tricked,TRUE,1,5,391,7,16,7,251,475,91,633300,5,2
trickle,TRUE,2,6,449,8,15,6,16,1185,244,716225,7,1
trickling,TRUE,2,7,482,7,4,2,15,348,41,185199,5,2
tricks,TRUE,1,5,458,7,31,9,969,2556,419,10022514,6,2
trickster,TRUE,2,7,487,10,1,1,22,272,11,279474,8,2
tricky,TRUE,2,5,339,6,20,4,406,1912,386,2350950,6,2
tricolor,TRUE,3,7,678,6,1,0,1,115,5,179844,6,NA
trident,TRUE,2,7,395,6,1,1,24,121,10,1078613,5,1
tried,TRUE,1,4,413,5,30,13,9529,42151,10198,34201786,5,2
tries,TRUE,1,4,526,6,37,21,807,7476,1366,8236889,4,2
trifle,TRUE,2,6,475,7,6,4,107,299,12,354770,7,1
trifling,TRUE,2,7,619,6,1,4,35,119,5,196913,5,2
trig,TRUE,1,4,378,5,28,14,39,91,26,591988,5,1
trigger,TRUE,2,5,382,8,18,3,861,4662,915,8631876,6,1
triggered,TRUE,2,6,484,8,2,0,126,2223,500,2818102,6,2
triggering,TRUE,3,7,524,8,0,0,31,638,93,1200514,6,2
triggers,TRUE,2,6,434,8,10,3,73,1105,157,2372558,6,2
trigonometry,TRUE,5,12,705,6,0,0,15,81,9,508298,5,2
trihbz,FALSE,1,5,440,NA,14,NA,0,0,0,0,5,NA
trihfyuhts,FALSE,2,8,602,NA,0,NA,0,0,0,0,5,NA
trihkmihl,FALSE,2,7,472,NA,0,NA,0,0,0,0,5,NA
trihngkraxl,FALSE,2,8,520,NA,1,NA,0,0,0,0,6,NA
trihptaxr,FALSE,2,7,496,NA,0,NA,0,0,0,0,6,NA
trihr,FALSE,1,4,400,NA,29,NA,0,0,0,0,5,NA
trihrk,FALSE,1,5,440,NA,1,NA,0,0,0,0,5,NA
trihzaxnd,FALSE,2,7,440,NA,1,NA,0,0,0,0,6,NA
trike,TRUE,1,4,444,4,28,9,3,38,3,447200,5,NA
trilingual,TRUE,3,10,610,5,0,0,1,21,0,84920,5,2
trill,TRUE,1,4,469,6,36,17,6,86,3,172713,5,1
trillion,TRUE,2,7,502,9,2,2,52,4291,2132,2070561,8,2
trilogy,TRUE,3,7,555,6,0,0,32,588,50,3826184,6,1
trim,TRUE,1,4,391,5,36,17,218,3321,160,10397657,5,1
trimester,TRUE,3,8,698,6,0,0,43,312,46,1216502,5,1
trimmed,TRUE,1,5,446,7,7,3,47,1747,64,1971349,5,2
trimming,TRUE,2,6,318,9,5,2,33,591,69,1185796,7,2
trimmings,TRUE,2,7,538,9,1,1,29,560,12,457839,7,3
trinity,TRUE,3,7,498,8,1,0,149,1570,103,7879579,5,1
trinkets,TRUE,2,8,605,8,1,1,43,249,24,300881,8,2
trio,TRUE,2,4,439,5,16,10,66,1980,187,7204459,5,1
tripartite,TRUE,3,9,588,5,0,0,0,196,4,421463,6,1
tripe,TRUE,1,4,230,5,29,17,41,73,4,220021,5,1
triple,TRUE,2,6,509,7,14,9,479,3554,487,12479150,7,1
triplet,TRUE,2,7,442,8,2,6,2,150,12,614816,8,2
triplication,TRUE,4,11,878,10,0,0,0,1,0,7528,8,2
tripod,TRUE,2,6,505,7,1,2,46,745,18,3635284,7,1
tripped,TRUE,1,5,399,7,20,10,221,741,67,464211,6,2
tripping,TRUE,2,6,411,7,12,8,194,493,73,978231,6,2
trips,TRUE,1,5,439,5,26,15,367,6766,742,17273017,5,2
trisect,TRUE,2,7,596,5,0,0,0,1,0,4463,6,1
triumph,TRUE,2,6,514,8,2,1,237,2960,400,5473997,7,1
triumphant,TRUE,3,9,534,11,0,0,70,845,88,740201,10,2
triumphs,TRUE,2,7,569,8,2,1,38,627,63,668748,7,2
trivia,TRUE,3,6,494,7,1,2,45,585,152,8023813,7,1
trivial,TRUE,3,7,448,8,1,1,93,1265,179,3505592,8,1
triygihz,FALSE,2,6,464,NA,0,NA,0,0,0,0,5,NA
