Item,node,ortho,phono,original,replace,delete_insert,replace_p,delins_p,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,log_freq,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
agent,397,agent,eJ|nt,1,1,0,1,0,1,0,-1,-1,-1,-1,2,5,436,6,6,7,5235,3.718999638,13435,2725,57105050,6,1
aggression,406,aggression,xgrES|n,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,480,11,3,1,143,2.158362492,3978,782,2543047,8,1
aggrieve,407,aggrieve,xgriv,2,0,2,0,1,1,1,0,-1,-1,-1,2,5,537,9,7,1,0,0,0,0,5273,6,1
aghast,408,aghast,xg@st,1,1,0,1,0,1,0,-1,-1,-1,-1,2,5,637,5,4,0,7,0.903089987,287,27,183464,5,1
agile,409,agile,@JL,2,2,0,1,0,2,0,1,1,1,-1,2,4,488,5,10,3,20,1.322219295,479,36,1808955,5,1
agitate,411,agitate,@J|tet,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,3,6,495,8,4,1,22,1.361727836,108,10,129541,7,1
agitation,412,agitation,@J|teS|n,2,2,0,1,0,2,0,0,0,0,-1,4,8,752,8,2,0,25,1.414973348,518,27,890368,6,2
agitator,413,agitator,@J|tetX,1,0,1,0,1,0,1,-1,-1,-1,-1,4,7,686,9,1,1,11,1.079181246,73,5,380247,7,2
agleam,414,agleam,xglim,1,0,1,0,1,1,0,-1,-1,-1,-1,2,5,639,5,4,1,0,0,9,0,7201,5,1
agree,425,agree,xgri,2,0,2,0,1,1,1,0,-1,-1,-1,2,4,431,6,9,4,3298,3.518382316,25427,13239,47501886,5,1
agricultural,426,agricultural,@grIk^lCXL,1,0,1,0,1,0,1,-1,-1,-1,-1,5,11,1048,13,1,0,48,1.69019608,6893,426,24511454,12,2
agriculture,427,agriculture,@grIk^lCX,1,0,1,0,1,0,1,-1,-1,-1,-1,4,9,732,12,1,0,56,1.755874856,6939,792,29218031,10,1
aground,428,aground,xgrWnd,2,0,2,0,1,2,0,1,-1,1,-1,2,6,517,5,1,3,25,1.414973348,229,30,166844,4,1
ahead,430,ahead,xhEd,2,1,1,0.5,0.5,2,0,0,-1,0,-1,2,4,471,5,3,3,10115,4.005008821,34433,15530,28377865,3,1
ahoy,431,ahoy,xhO,1,1,0,1,0,1,0,-1,-1,-1,-1,2,3,539,4,5,3,189,2.278753601,58,2,448868,3,1
aid,432,aid,ed,20,12,8,0.6,0.4,12,8,0.326315789,0.515151515,0.515151515,1,1,2,342,4,101,49,709,2.851258349,17622,4037,50038814,3,1
aim,437,aim,em,21,11,10,0.523809524,0.476190476,13,8,0.361904762,0.563636364,0.615384615,1,1,2,397,4,88,35,758,2.880241776,6116,618,28955618,3,1
air,438,air,Er,30,13,17,0.433333333,0.566666667,19,11,0.303448276,0.487179487,0.590643275,0.563636364,1,2,322,4,154,35,7090,3.850707485,69259,13508,160853049,3,1
aisle,443,aisle,Yl,23,11,12,0.47826087,0.52173913,19,4,0.351778656,0.563636364,0.485380117,1,1,2,393,6,124,5,379,2.579783597,2990,663,1917319,3,1
akin,446,akin,xkIn,2,1,1,0.5,0.5,2,0,1,-1,1,-1,2,4,395,5,20,20,14,1.176091259,1480,154,1714256,5,1
album,456,album,@lbxm,1,0,1,0,1,1,0,-1,-1,-1,-1,2,5,432,6,7,5,522,2.718501689,7854,1951,77922007,6,1
alert,472,alert,xlRt,9,9,0,1,0,4,5,0.333333333,0.333333333,0.333333333,1,2,4,449,6,16,6,1051,3.02201574,4758,1238,32474768,5,1
alien,483,alien,elixn,2,2,0,1,0,1,1,0,0,-1,-1,3,5,460,6,10,9,889,2.949390007,4657,454,10502558,6,1
alight,487,alight,xlYt,16,14,2,0.875,0.125,7,9,0.225,0.241758242,0.523809524,0.444444444,2,4,459,5,22,6,21,1.342422681,183,6,264372,4,1
alike,488,alike,xlYk,5,4,1,0.8,0.2,1,4,0.6,1,-1,1,2,4,435,6,19,8,579,2.763427994,4512,545,6220960,5,1
aline,492,aline,xlYn,8,6,2,0.75,0.25,3,5,0.214285714,0.4,0,0.6,2,4,576,6,39,26,24,1.397940009,202,45,276627,5,NA
alive,494,alive,xlYv,4,4,0,1,0,0,4,1,1,-1,1,2,4,610,4,14,12,7878,3.8964711,15207,4343,16076446,4,1
alkali,495,alkali,@lkxlY,1,0,1,0,1,0,1,-1,-1,-1,-1,3,6,577,7,2,1,18,1.278753601,72,2,686657,7,1
all,501,all,cl,25,12,13,0.48,0.52,19,6,0.31,0.515151515,0.485380117,0.666666667,1,2,408,4,108,44,263255,5.420378278,696373,220486,2022464594,3,1
alleluia,511,alleluia,@lxluyx,1,0,1,0,1,1,0,-1,-1,-1,-1,4,7,604,6,0,0,31,1.505149978,49,27,219252,4,1
allergy,516,allergy,@lXJi,1,0,1,0,1,0,1,-1,-1,-1,-1,3,5,460,7,5,0,86,1.939519253,1229,132,6453834,6,1
alley,519,alley,@li,22,13,9,0.590909091,0.409090909,16,6,0.216450216,0.294871795,0.333333333,0.666666667,2,3,340,6,118,30,831,2.920123326,3316,349,4541475,4,1
alliance,521,alliance,xlY|ns,1,0,1,0,1,1,0,-1,-1,-1,-1,3,6,617,9,5,3,465,2.668385917,6375,893,22670388,7,2
allied,522,allied,xlYd,12,10,2,0.833333333,0.166666667,6,6,0.136363636,0.2,0.133333333,0.466666667,2,4,427,7,17,7,147,2.170261715,3336,821,7508812,5,2
alliterate,524,alliterate,xlItXet,1,0,1,0,1,1,0,-1,-1,-1,-1,4,8,559,10,0,1,0,0,1,0,6747,5,1
allocation,527,allocation,@lxkeS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,4,8,621,11,5,1,10,1.041392685,1645,75,11756662,9,2
allow,529,allow,xlW,5,4,1,0.8,0.2,2,3,0.1,0.166666667,0,0.333333333,2,3,678,6,26,13,2263,3.354876423,25960,4805,67052832,4,1
alloy,530,alloy,@lO,7,7,0,1,0,2,5,0.523809524,0.523809524,1,1,2,3,431,6,20,10,52,1.72427587,566,7,5468839,4,1
allure,533,allure,xlUr,4,3,1,0.75,0.25,4,0,0.5,1,0.5,-1,2,4,539,7,10,2,30,1.491361694,698,57,1292131,5,1
alms,541,alms,amz,2,2,0,1,0,1,1,0,0,-1,-1,1,4,494,4,17,25,25,1.414973348,188,3,407901,4,1
aloe,542,aloe,@lo,20,11,9,0.55,0.45,14,6,0.231578947,0.309090909,0.373626374,0.666666667,2,3,519,4,64,12,15,1.204119983,158,10,1897405,4,1
aloft,543,aloft,xlcft,1,0,1,0,1,1,0,-1,-1,-1,-1,2,5,605,4,1,2,37,1.579783597,647,25,497342,4,1
alone,545,alone,xlon,7,5,2,0.714285714,0.285714286,5,2,0.142857143,0.1,0.3,0,2,4,488,5,30,18,15735,4.196894347,37065,5859,39331197,5,1
along,546,along,xlcG,2,0,2,0,1,2,0,0,-1,0,-1,2,4,485,6,4,9,9330,3.969928189,73012,12373,83450291,5,1
aloof,549,aloof,xluf,1,1,0,1,0,0,1,-1,-1,-1,-1,2,4,487,6,4,2,33,1.531478917,462,47,296583,5,1
aloud,550,aloud,xlWd,5,3,2,0.6,0.4,2,3,0.2,0.333333333,1,0.333333333,2,4,545,4,12,3,94,1.977723605,2451,83,3743858,4,1
also,561,also,clso,1,1,0,1,0,0,1,-1,-1,-1,-1,2,4,360,5,2,11,10528,4.022387126,305492,61845,616838308,4,1
altar,562,altar,cltX,5,1,4,0.2,0.8,4,1,0.6,-1,1,-1,2,4,469,6,21,13,259,2.414973348,2233,171,2628192,5,1
alteration,563,alteration,cltXeS|n,2,0,2,0,1,0,2,1,-1,-1,0,4,8,673,11,2,3,36,1.568201724,509,22,2847005,9,2
alternation,566,alternation,cltXneS|n,2,1,1,0.5,0.5,1,1,1,-1,-1,-1,4,9,703,10,1,2,2,0.477121255,126,5,294977,7,2
altitude,570,altitude,@lt|tud,2,1,1,0.5,0.5,2,0,1,-1,1,-1,3,7,622,9,3,4,198,2.298853076,2081,200,4582981,5,1
alto,571,alto,@lto,1,0,1,0,1,0,1,-1,-1,-1,-1,2,4,519,5,6,19,69,1.84509804,1476,100,6381409,5,1
