from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
542,6556,aloe,@lo,floe,flo,replace,0,3,0
542,7234,aloe,@lo,glow,glo,replace,0,3,0
542,15825,aloe,@lo,sloe,slo,replace,0,3,0
545,1228,alone,xlon,atone,xton,replace,1,4,0.25
545,1955,alone,xlon,blown,blon,replace,0,4,0
545,6577,alone,xlon,flown,flon,replace,0,4,0
550,3325,aloud,xlWd,cloud,klWd,replace,0,4,0
551,1126,alp,@lp,asp,@sp,replace,1,3,0.333333333
564,566,altercation,cltXkeS|n,alternation,cltXneS|n,replace,4,9,0.444444444
570,949,altitude,@lt|tud,aptitude,@pt|tud,replace,1,7,0.142857143
582,10213,am,@m,m,Em,replace,0,2,0
582,11898,am,@m,ohm,om,replace,0,2,0
584,1055,amain,xmen,arraign,xren,replace,1,4,0.25
584,1239,amain,xmen,attain,xten,replace,1,4,0.25
600,5582,amber,@mbX,ember,EmbX,replace,0,4,0
600,17929,amber,@mbX,umber,^mbX,replace,0,4,0
609,17928,amble,@mbL,umbel,^mbL,replace,0,4,0
618,898,amend,xmEnd,append,xpEnd,replace,1,5,0.2
618,1101,amend,xmEnd,ascend,xsEnd,replace,1,5,0.2
618,1246,amend,xmEnd,attend,xtEnd,replace,1,5,0.2
618,5601,amend,xmEnd,emend,ImEnd,replace,0,5,0
618,11877,amend,xmEnd,offend,xfEnd,replace,1,5,0.2
622,1355,amerce,xmRs,averse,xvRs,replace,1,4,0.25
622,8325,amerce,xmRs,immerse,ImRs,replace,0,4,0
636,1065,ammo,@mo,arrow,@ro,replace,1,3,0.333333333
646,8340,amoral,emcrL,immoral,ImcrL,replace,0,5,0
647,1344,amorous,@mXxs,avarice,@vXxs,replace,1,5,0.2
652,1172,amour,xmUr,assure,xSUr,replace,1,4,0.25
665,8479,amputation,@mpyuteS|n,imputation,ImpyuteS|n,replace,0,10,0
669,1390,an,@n,awn,cn,replace,0,2,0
669,5411,an,@n,earn,Rn,replace,0,2,0
669,8481,an,@n,in,In,replace,0,2,0
669,11350,an,@n,n,En,replace,0,2,0
669,12221,an,@n,own,on,replace,0,2,0
704,5661,and,@nd,end,End,replace,0,3,0
712,769,anent,xnEnt,anoint,xnOnt,replace,2,5,0.4
712,1105,anent,xnEnt,ascent,xsEnt,replace,1,5,0.2
712,5923,anent,xnEnt,event,xvEnt,replace,1,5,0.2
720,8792,angle,@GgL,ingle,IGgL,replace,0,4,0
744,836,anise,@n|s,anus,en|s,replace,0,4,0
744,7768,anise,@n|s,heiress,@r|s,replace,1,4,0.25
744,11937,anise,@n|s,onus,on|s,replace,0,4,0
745,1121,ankh,@Gk,ask,@sk,replace,1,3,0.333333333
745,8833,ankh,@Gk,ink,IGk,replace,0,3,0
749,890,anneal,xnil,appeal,xpil,replace,1,4,0.25
764,5736,annunciate,xn^nsiet,enunciate,In^nsiet,replace,0,8,0
769,918,anoint,xnOnt,appoint,xpOnt,replace,1,5,0.2
780,948,ant,@nt,apt,@pt,replace,1,3,0.333333333
793,9012,anterior,@ntIriX,interior,IntIriX,replace,0,7,0
805,18149,anti,@ntY,untie,^ntY,replace,0,4,0
836,11937,anus,en|s,onus,on|s,replace,0,4,0
840,5458,any,Eni,eddy,Edi,replace,1,3,0.333333333
845,16039,apace,xpes,space,spes,replace,0,4,0
846,875,apart,xpart,aport,xport,replace,2,5,0.4
847,877,apartheid,xpartet,apostate,xpastet,replace,3,7,0.428571429
851,11946,ape,ep,ope,op,replace,0,2,0
851,18160,ape,ep,up,^p,replace,0,2,0
852,16068,apeak,xpik,speak,spik,replace,0,4,0
859,11884,aphis,efxs,office,cfxs,replace,0,4,0
863,1359,apiary,epiEri,aviary,eviEri,replace,1,6,0.166666667
875,1167,aport,xport,assort,xsort,replace,1,5,0.2
875,16175,aport,xport,sport,sport,replace,0,5,0
891,16069,appear,xpIr,spear,spIr,replace,0,4,0
898,1101,append,xpEnd,ascend,xsEnd,replace,1,5,0.2
