Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
house,house,1,3,402,6,67,29,26214,139426,42318,231328347,4,1
houseboat,houseboat,2,6,609,10,3,3,40,216,73,381481,7,1
houseboats,houseboats,2,7,700,10,1,1,2,44,6,258152,7,2
houseboy,houseboy,2,5,658,8,0,0,36,43,0,26004,5,NA
housebreakers,housebreakers,3,9,682,11,0,0,0,1,0,2907,8,3
housebreaking,housebreaking,3,9,668,11,0,0,2,12,1,139321,8,2
housebroken,housebroken,3,9,620,8,0,0,29,21,1,53142,6,1
housecoat,housecoat,2,6,546,7,1,1,6,70,1,15194,5,NA
housecraft,housecraft,2,8,680,7,0,0,0,0,0,1926,5,NA
housed,housed,1,4,393,6,21,13,42,1856,138,2537223,4,2
housefather,housefather,3,7,576,7,0,0,0,0,0,4398,5,NA
housefly,housefly,2,6,613,7,0,1,9,27,4,31908,5,1
household,household,2,7,596,10,3,1,354,8285,880,27556777,8,1
householder,householder,3,8,624,12,4,2,11,63,2,1603467,9,1
householders,householders,3,9,679,12,3,1,0,55,0,521937,9,2
households,households,2,8,632,10,3,2,26,3871,300,10254387,8,2
housekeeper,housekeeper,3,7,611,12,1,1,298,643,80,614630,8,2
housekeeping,housekeeping,3,8,768,10,0,0,153,833,79,2347164,7,2
housemaid,housemaid,2,6,612,8,0,0,12,56,2,86270,5,1
housemaster,housemaster,3,8,682,8,0,0,4,10,0,34814,5,NA
housemistress,housemistress,3,10,792,7,0,0,0,2,0,3555,5,NA
housemother,housemother,3,7,642,7,0,0,5,10,2,9469,6,NA
housepaint,housepaint,2,7,609,6,0,0,0,3,0,2394,4,NA
houses,houses,2,5,531,7,8,10,975,14404,2214,29896478,5,2
housewarming,housewarming,3,8,668,9,1,0,36,55,4,433050,6,NA
housewife,housewife,2,6,577,10,1,1,180,596,125,2928414,7,1
housewifey,housewifey,3,7,748,10,1,1,0,2,0,675,7,2
housewives,housewives,2,7,683,8,0,0,113,750,257,5839336,6,1
housework,housework,2,6,505,9,2,0,64,395,47,465104,6,1
housing,housing,2,5,492,8,8,5,207,14534,2772,57790617,6,2
hover,hover,2,4,312,6,17,23,59,599,39,1553261,5,2
hovered,hovered,2,5,449,6,8,1,18,909,28,262747,5,3
hovering,hovering,3,6,639,6,3,3,103,1244,106,679626,5,2
hovers,hovers,2,5,493,7,7,8,7,428,22,210563,5,3
how,how,1,2,404,4,117,44,155867,351693,113754,571863383,3,1
however,however,3,5,478,5,3,0,2299,89234,5585,163966665,3,1
howitzers,howitzers,3,7,656,9,1,1,5,73,12,61968,7,NA
howl,howl,1,3,376,5,82,13,105,794,60,835214,4,1
howled,howled,1,4,504,6,26,5,13,429,15,146260,4,2
howling,howling,2,5,489,5,21,7,183,909,63,770604,5,2
howls,howls,1,4,412,5,45,7,64,382,22,207490,4,2
howsoever,howsoever,4,7,738,6,1,0,3,6,0,140798,4,1
hub,hub,1,3,280,4,48,25,156,1869,147,11194938,4,1
hubcap,hubcap,2,6,495,7,1,1,7,61,17,120880,7,NA
hubs,hubs,1,4,457,4,26,17,9,443,28,3963468,4,2
huddle,huddle,2,5,382,7,26,8,111,698,44,339922,6,1
huddled,huddled,2,6,437,7,5,4,37,1261,112,340052,6,2
hue,hue,1,3,343,4,61,48,71,1146,45,1461356,4,1
hues,hues,1,4,539,5,61,19,9,827,13,641113,5,2
huff,huff,1,3,334,5,56,16,67,586,65,1013391,4,1
hug,hug,1,3,258,4,65,38,986,2857,650,2946687,4,1
huge,huge,1,4,491,5,29,26,2467,27241,8026,70650187,5,1
hugely,hugely,2,6,637,6,1,2,29,833,226,1136221,5,2
hugged,hugged,1,4,474,6,17,7,87,1678,189,610040,4,2
hugs,hugs,1,4,517,4,30,27,89,1020,151,2213726,4,2
hula,hula,2,4,419,4,22,21,100,209,25,921011,4,NA
hulk,hulk,1,4,379,5,21,11,208,407,77,2113535,5,1
hull,hull,1,3,349,5,104,25,215,2858,114,6744259,4,1
hum,hum,1,3,344,4,88,39,246,1205,83,3075078,4,1
human,human,2,6,559,6,15,22,6363,70897,9504,160580309,7,1
humane,humane,2,6,659,7,4,6,93,1273,256,2337182,7,1
humanely,humanely,3,8,768,7,1,1,15,149,36,153884,7,2
humanism,humanism,4,10,556,8,0,1,3,499,8,609580,8,2
humanist,humanist,3,9,698,9,1,2,4,859,17,754866,10,2
humanistic,humanistic,4,11,709,9,0,0,2,353,11,524179,10,3
humanitarianism,humanitarianism,8,17,1057,13,0,0,0,74,6,109670,14,4
humanities,humanities,4,9,671,8,3,0,6,1321,69,7465314,9,1
humanity,humanity,4,8,519,9,3,0,495,5498,597,7269177,9,2
humankind,humankind,3,10,677,10,1,0,35,873,45,799237,11,1
humanly,humanly,3,8,443,6,1,1,60,259,63,251553,7,2
humans,humans,2,6,472,6,11,8,831,10644,981,12732369,6,2
humble,humble,2,6,380,7,20,14,500,2474,323,3693501,7,1
humbly,humbly,2,6,547,6,7,3,95,267,21,516745,6,1
humdinger,humdinger,3,7,563,5,0,0,7,16,3,35633,5,NA
humdrum,humdrum,2,7,508,5,0,0,22,110,6,101114,5,NA
humid,humid,2,5,487,6,7,2,45,826,49,1026485,5,1
humidity,humidity,4,9,509,9,1,1,68,1405,142,8321426,10,2
humiliated,humiliated,5,11,652,10,1,2,339,784,242,504794,11,2
humiliating,humiliating,5,11,658,10,1,0,300,853,204,624505,11,2
humiliation,humiliation,5,11,888,12,1,1,238,1219,210,3707732,12,2
humility,humility,4,9,559,7,0,1,122,1113,129,1309175,7,1
hummed,hummed,1,4,548,6,21,8,9,469,6,98320,5,2
humming,humming,2,5,479,8,15,4,251,1025,69,684949,6,2
hummingbird,hummingbird,3,8,590,12,1,1,31,267,10,1601201,9,1
humor,humor,2,5,509,6,11,4,849,6153,1171,18086985,6,1
humorous,humorous,3,7,723,9,5,2,75,884,127,2807909,8,2
humpback,humpback,2,7,562,5,0,0,21,142,8,422863,5,1
hunch,hunch,1,4,454,6,20,9,383,631,128,330785,5,1
hunchback,hunchback,2,7,668,6,0,0,50,122,5,272939,5,1
hundred,hundred,2,6,488,8,5,3,4015,22718,5596,18340036,7,1
hundredfold,hundredfold,3,11,730,8,0,0,5,49,3,44290,8,2
hundreds,hundreds,2,7,498,8,2,5,1108,18114,4915,21028505,7,2
hundredth,hundredth,2,8,505,10,3,1,22,280,15,269665,9,2
hundredweight,hundredweight,3,10,684,8,0,0,1,10,1,64276,8,NA
hung,hung,1,3,479,5,50,29,1436,8751,734,8543618,4,1
hungarian,hungarian,4,9,653,10,1,1,137,1137,102,7504915,10,NA
hunger,hunger,2,5,425,7,7,10,300,3658,525,5358049,6,1
hungry,hungry,2,6,435,6,2,1,3931,6064,892,6217455,7,1
hunk,hunk,1,4,389,5,38,28,263,470,69,2559594,5,1
hunt,hunt,1,4,498,5,35,25,1319,8760,1622,13754315,5,1
hunted,hunted,2,6,423,6,6,11,198,1427,153,1049921,6,2
hunter,hunter,2,5,379,7,17,15,936,7017,1515,29375386,6,2
hunters,hunters,2,6,525,7,2,3,247,4224,231,4473745,6,3
hunting,hunting,2,6,400,8,5,5,1081,9219,753,19832646,7,2
hunts,hunts,1,5,482,6,25,14,60,784,56,1310081,6,2
hurdle,hurdle,2,5,439,7,16,5,37,880,190,1048302,6,1
hurdles,hurdles,2,6,476,7,4,4,23,1066,144,1299924,6,2
hurl,hurl,1,3,476,5,102,14,69,290,24,334757,4,1
hurler,hurler,2,4,498,7,30,11,0,16,4,59728,5,2
hurlers,hurlers,2,5,613,7,10,3,1,13,0,42153,5,3
hurley,hurley,2,4,529,6,78,18,215,530,120,1947191,4,NA
hurling,hurling,2,5,525,5,34,12,26,337,24,466538,5,2
hurray,hurray,2,4,479,7,3,5,86,33,9,178854,4,1
hurrays,hurrays,2,5,574,7,1,1,0,0,0,680,5,NA
hurricane,hurricane,3,6,531,10,2,1,447,6867,3583,16759342,7,1
hurricanes,hurricanes,3,7,679,10,1,3,51,1651,508,3785008,7,2
hurried,hurried,2,4,401,8,12,3,62,2311,54,787941,5,2
hurriedly,hurriedly,3,6,549,8,1,0,12,442,9,295940,5,3
hurries,hurries,2,4,502,7,28,3,12,390,3,89015,4,2
hurry,hurry,2,3,389,6,84,12,8856,3688,567,3538466,4,1
hurrying,hurrying,3,5,619,6,10,1,77,600,15,221372,4,2
hurt,hurt,1,3,443,5,101,23,12564,18791,5882,12940340,4,1
hurtle,hurtle,2,5,314,6,26,6,1,54,0,48093,5,1
hurtling,hurtling,2,6,429,6,6,7,23,345,16,122424,5,2
hurts,hurts,1,4,434,5,64,11,1907,2599,887,2956538,5,2
husband,husband,2,7,589,8,2,1,9935,35765,9044,23064889,8,1
husbandry,husbandry,3,9,603,8,0,0,10,148,4,730860,8,1
husbands,husbands,2,8,546,9,2,3,396,2928,643,1937668,8,2
hush,hush,1,3,517,5,56,27,388,1013,113,1719699,4,1
husky,husky,2,5,454,6,19,12,81,471,18,1606901,6,1
hussy,hussy,2,4,348,5,35,7,63,47,3,90501,5,1
hustle,hustle,2,5,421,7,35,7,402,700,120,1754467,6,1
hustling,hustling,2,6,563,6,9,4,86,315,41,118590,5,2
hut,hut,1,3,301,4,96,41,674,2019,105,3476174,4,1
hutch,hutch,1,3,549,6,51,11,184,289,19,1373960,4,1
huts,huts,1,4,464,5,69,31,56,668,38,677536,5,2
hyacinth,hyacinth,3,7,662,9,3,3,21,142,5,407411,8,1
hyacinths,hyacinths,3,8,684,9,4,3,1,60,0,104921,8,2
hybrid,hybrid,2,6,528,7,2,1,104,3320,208,13178741,7,1
hybridize,hybridize,3,8,788,9,1,0,0,28,2,60588,7,1
hybrids,hybrids,2,7,678,7,2,2,50,1087,96,1589976,7,2
hydrant,hydrant,2,7,620,8,2,1,52,155,31,356496,8,1
hydrate,hydrate,2,6,515,8,1,2,25,162,40,461614,7,1
hydraulic,hydraulic,3,8,602,10,2,1,58,959,52,5825729,9,1
hydraulics,hydraulics,3,9,757,10,1,1,28,124,5,976898,9,2
hydride,hydride,2,6,481,6,0,0,0,70,2,381971,5,1
hydrocarbon,hydrocarbon,4,11,656,12,1,1,6,275,8,1160090,12,1
hydrocarbons,hydrocarbons,4,12,844,12,1,1,10,407,26,1329154,12,2
hydrogen,hydrogen,3,8,627,9,1,1,136,3268,334,7785346,9,1
hygiene,hygiene,2,5,566,7,1,0,108,1185,75,5151461,4,1
hygienic,hygienic,3,7,587,8,0,0,27,135,11,601727,4,2
hymens,hymens,2,6,503,6,21,4,1,5,1,12798,6,2
hymn,hymn,1,3,499,5,69,5,83,540,61,1685394,4,1
hymnal,hymnal,2,6,407,7,3,1,5,60,4,227316,7,2
hymns,hymns,1,4,415,5,58,5,48,494,47,1409831,4,2
hype,hype,1,3,302,5,76,11,83,1210,267,3136596,4,1
hyper,hyper,2,4,392,6,41,9,45,751,123,3156106,5,NA
hyperactive,hyperactive,4,9,789,11,0,0,20,296,39,371207,10,3
hyperbolic,hyperbolic,4,9,693,9,1,0,7,152,7,750981,7,2
hypercritical,hypercritical,5,12,688,7,0,0,3,13,0,14171,7,3
hyperness,hyperness,3,7,647,6,0,0,0,1,1,4664,5,NA
hypertension,hypertension,4,10,653,11,1,0,30,1268,88,4173257,8,2
hypertrophy,hypertrophy,4,9,709,11,0,0,1,107,1,435056,9,2
hyphen,hyphen,2,5,569,7,17,0,11,68,11,486821,6,1
hyphenate,hyphenate,3,7,593,10,1,2,7,26,3,59311,8,1
hyphenated,hyphenated,4,9,631,10,1,2,7,79,12,278706,9,2
hypnosis,hypnosis,3,8,888,6,0,0,101,396,43,2582627,5,1
hypoactive,hypoactive,4,9,792,5,0,0,0,9,0,17113,5,1
hypochondriac,hypochondriac,5,12,998,13,0,1,20,102,18,58308,11,1
hypocrites,hypocrites,3,9,608,10,2,1,57,128,37,388764,9,2
hypocritical,hypocritical,5,12,716,9,0,0,64,429,142,528268,9,3
hypothalamus,hypothalamus,4,10,774,11,0,0,36,131,21,380782,6,1
hypotheses,hypotheses,4,9,740,9,1,1,9,1892,28,1917553,8,1
hypothesized,hypothesized,4,10,894,12,1,1,3,1421,13,537436,10,2
hypothesizing,hypothesizing,5,11,943,11,0,0,2,48,0,37078,10,2
hypothetical,hypothetical,5,11,630,13,2,1,125,1453,248,5532893,12,2
hysteria,hysteria,4,8,737,8,0,1,116,779,187,753189,7,1
hysteric,hysteric,3,8,719,9,2,2,9,26,6,77817,9,1
hysterical,hysterical,4,10,707,11,1,0,362,976,277,720682,9,2
hysterics,hysterics,3,9,688,9,1,1,33,113,16,92059,9,2
i,i,1,1,394,2,151,69,2038529,2637500,1031853,3087163199,2,NA
ice,ice,1,2,439,4,99,26,4057,21972,2530,41717036,3,1
iceberg,iceberg,2,5,538,8,5,1,92,751,153,1227656,6,1
iceboat,iceboat,2,5,446,6,0,0,2,2,0,6449,4,NA
icebox,icebox,2,6,654,6,0,0,124,132,19,173470,4,1
icebreaker,icebreaker,3,7,552,11,1,1,21,106,4,308639,8,NA
icecap,icecap,2,5,566,5,1,0,4,33,5,50458,4,NA
iced,iced,1,3,463,4,25,5,218,792,58,1362338,4,2
icepick,icepick,2,5,490,4,2,0,1,23,0,43748,4,NA
icing,icing,2,4,462,4,10,1,71,726,96,1277602,4,1
icon,icon,2,4,429,5,16,13,88,2476,337,33967723,5,1
iconic,iconic,3,6,589,5,1,4,10,1333,173,686515,7,2
iconoclast,iconoclast,4,10,767,11,0,1,1,73,12,142441,9,1
icons,icons,2,5,582,5,10,5,14,1383,118,13656669,5,2
icy,icy,2,3,377,3,37,5,135,2040,140,1565708,3,1
idea,idea,3,4,423,5,15,9,18311,56406,15986,65466433,5,1
ideal,ideal,2,4,503,6,17,4,374,8795,598,26049328,5,1
idealism,idealism,4,8,878,8,0,1,32,665,64,588209,6,2
idealist,idealist,3,7,698,9,2,2,34,219,14,290962,8,2
idealistic,idealistic,5,10,666,9,0,0,41,644,83,516542,6,3
idealize,idealize,3,6,661,9,3,2,6,76,9,33710,7,2
idealized,idealized,4,8,748,9,1,2,9,636,36,359839,6,3
ideally,ideally,3,5,543,6,9,0,22,1552,136,4048227,5,2
ideals,ideals,2,5,521,6,10,5,126,2411,211,2435522,5,2
ideas,ideas,3,5,599,5,4,5,1987,22931,3408,67316071,5,2
identical,identical,4,9,768,10,2,0,282,4288,418,9249252,10,1
identically,identically,5,10,599,10,1,0,2,140,7,426757,10,2
identifiable,identifiable,6,12,833,9,1,0,15,903,68,2957577,9,2
identification,identification,6,13,901,15,2,2,409,6646,441,23879859,14,1
identified,identified,4,9,686,10,4,4,524,17314,1513,33222080,9,2
identifies,identifies,4,9,764,10,4,6,39,1840,86,6540017,9,2
identify,identify,4,8,673,9,4,4,825,14722,1581,35855328,9,1
identifying,identifying,5,10,838,9,1,0,96,4778,297,11718306,9,2
identities,identities,4,9,828,8,2,2,89,3023,202,4514302,9,2
identity,identity,4,8,752,8,2,2,662,18365,1606,26582275,7,1
ideological,ideological,6,11,781,12,0,0,7,4244,509,1997689,10,3
ideologically,ideologically,6,11,747,12,0,0,4,589,106,243161,10,4
ideology,ideology,5,8,778,8,1,0,33,4295,527,2984845,9,2
idiocy,idiocy,4,6,495,5,0,0,29,137,18,357288,5,1
idiosyncrasy,idiosyncrasy,6,12,800,12,1,0,10,41,0,43546,13,1
idiosyncratic,idiosyncratic,6,13,870,11,0,0,8,564,28,481917,10,1
idiot,idiot,3,5,336,6,2,2,3377,2013,317,4642419,6,1
idiotically,idiotically,5,9,673,8,0,0,3,21,1,19777,8,4
idiots,idiots,3,6,521,6,1,2,607,544,112,1866302,6,2
idle,idle,2,4,529,5,40,12,141,1528,226,5922650,5,1
idly,idly,2,4,481,4,14,1,32,488,37,292990,4,1
idol,idol,2,4,329,5,40,4,141,2247,831,5565019,5,1
idylic,idylic,3,6,563,5,1,1,0,0,0,6938,5,NA
idyllic,idyllic,3,6,539,6,1,1,23,492,51,550554,5,2
if,if,1,2,375,3,46,26,180610,589059,179701,1134988791,3,1
iffy,iffy,2,3,319,3,26,3,26,172,30,200989,4,1
igloo,igloo,2,4,493,4,4,0,15,108,16,397625,4,1
ignited,ignited,3,7,588,7,1,2,29,704,125,498365,7,2
ignition,ignition,3,7,535,7,0,0,212,744,63,3693724,4,2
ignorance,ignorance,3,7,523,8,1,0,184,2212,217,3783046,7,2
ignorant,ignorant,3,7,515,8,1,0,319,1421,176,2724458,7,1
ignore,ignore,2,5,437,7,4,3,951,6007,965,14354328,6,1
ignored,ignored,2,6,505,7,2,2,301,6678,912,7716436,6,2
ignores,ignores,2,6,640,7,2,2,45,1307,101,1599932,6,2
ignoring,ignoring,3,7,532,6,0,0,208,3082,399,3208542,6,2
iguana,iguana,3,6,564,7,0,1,40,180,22,641679,3,NA
ike,ike,1,2,373,4,83,26,95,1306,103,1448761,3,NA
ill,ill,1,2,459,4,109,28,1085,13142,2559,16153052,3,1
illegal,illegal,3,6,485,8,6,1,1199,11984,4075,21050148,7,2
illegality,illegality,5,9,719,10,1,0,4,137,54,209817,10,3
illegally,illegally,4,7,547,8,3,0,113,2027,744,1887757,7,3
illegible,illegible,4,8,636,7,1,0,9,134,4,335268,4,2
illegitimacy,illegitimacy,6,11,878,11,1,0,2,228,53,88323,9,2
illegitimate,illegitimate,5,10,620,11,0,0,68,667,156,628435,9,2
illiberality,illiberality,6,11,742,5,0,0,0,3,0,2875,4,3
illicit,illicit,3,6,495,8,2,0,36,1517,105,1820862,7,1
illiteracy,illiteracy,5,8,646,9,1,0,6,365,36,517214,7,2
illness,illness,2,5,591,8,3,0,371,7966,1192,12539579,6,2
illnesses,illnesses,3,7,758,8,0,0,35,1971,324,2961377,6,3
illogical,illogical,4,8,596,10,1,0,29,254,41,819066,7,4
ills,ills,1,3,385,4,77,16,26,771,76,815711,4,2
illume,illume,2,4,718,6,8,0,1,2,0,28678,5,NA
illuminate,illuminate,4,8,556,11,0,2,42,916,31,881857,5,1
illuminated,illuminated,5,10,659,11,1,2,18,1286,34,2678843,9,2
illuminating,illuminating,5,10,691,11,1,0,24,826,28,924257,9,2
illumination,illumination,5,10,703,13,2,1,34,698,19,2317247,11,2
illuminations,illuminations,5,11,824,13,1,1,0,78,2,424771,11,3
illusion,illusion,3,6,718,9,3,2,421,2732,226,3297550,7,1
illusionary,illusionary,5,9,704,9,0,0,2,33,4,56939,7,1
illusionist,illusionist,4,9,750,12,2,2,7,163,16,126118,10,2
illusions,illusions,3,7,649,9,4,2,125,935,92,1857945,7,2
illusive,illusive,3,6,611,7,1,1,6,42,7,112481,7,NA
illustrate,illustrate,3,8,570,11,2,3,40,2822,170,4841953,9,1
illustrated,illustrated,4,10,641,11,1,2,31,4153,290,12858672,9,2
illustrating,illustrating,4,10,798,11,1,0,10,620,33,1241740,10,2
illustration,illustration,4,10,766,13,1,1,24,5177,112,8484102,11,2
illustrations,illustrations,4,11,802,13,1,1,29,1954,47,7987303,11,3
illustrator,illustrator,4,9,570,12,3,1,12,515,51,3968150,10,2
illustrious,illustrious,4,9,708,8,0,0,72,314,25,664091,7,1
image,image,2,4,405,6,7,2,1154,27874,2858,197884704,5,1
imagery,imagery,3,6,472,7,1,0,74,3171,146,4898768,5,4
images,images,3,6,583,6,1,3,401,20499,1714,113793190,5,2
imaginable,imaginable,5,10,752,8,0,0,48,727,134,871690,8,2
imagination,imagination,5,10,727,12,1,1,885,6167,693,7020243,11,2
imaginative,imaginative,5,10,933,12,0,0,70,1333,83,1690298,11,1
imagine,imagine,3,6,718,8,2,3,4133,19285,5530,17370170,7,1
imagined,imagined,3,7,591,8,2,2,505,6582,505,2631487,7,2
imagines,imagines,3,7,798,8,2,2,29,815,49,296984,7,2
imaging,imaging,3,6,461,7,3,1,64,2641,123,16962721,6,3
imagining,imagining,4,8,631,7,1,0,247,1676,124,903598,8,2
imbalance,imbalance,3,8,607,10,0,1,54,999,139,1407312,9,NA
imbecility,imbecility,5,10,750,8,0,0,4,20,1,38857,5,1
imbedded,imbedded,3,7,579,6,1,1,7,180,18,289130,6,3
imbibe,imbibe,2,5,566,7,1,1,8,52,2,72441,6,1
imbued,imbued,2,6,540,6,1,2,9,388,17,317377,6,2
imitate,imitate,3,6,363,8,3,2,92,776,86,714445,7,1
imitated,imitated,4,8,530,8,2,2,14,320,20,299774,8,2
imitating,imitating,4,8,623,8,4,0,92,618,142,356525,8,2
imitation,imitation,4,8,848,10,1,2,139,1302,89,1978811,6,2
imitations,imitations,4,9,704,10,2,2,34,217,12,402031,6,3
immaculate,immaculate,4,9,798,11,0,0,40,572,31,1219765,6,1
immanent,immanent,3,7,450,8,3,1,0,204,0,130985,8,1
immaterial,immaterial,5,9,630,6,1,0,45,214,22,459140,5,3
immature,immature,3,7,569,8,1,0,167,664,86,1277806,5,2
immaturity,immaturity,5,9,591,8,0,0,11,140,27,171646,4,3
immeasurable,immeasurable,5,9,664,12,0,1,15,148,13,233029,8,3
immediacy,immediacy,5,8,698,8,0,0,8,517,38,373203,7,1
immediate,immediate,4,7,529,10,0,0,571,10094,1821,24532014,8,1
immediately,immediately,5,9,556,10,0,0,2446,21199,4194,37857880,8,2
immemorial,immemorial,5,9,766,5,1,0,4,139,10,182323,4,3
immense,immense,2,5,476,8,0,1,82,2382,271,2354605,6,1
immensely,immensely,3,7,658,8,0,0,62,831,148,1084301,6,2
immersed,immersed,2,5,510,8,4,1,27,913,83,934516,5,2
immersion,immersion,3,6,621,7,2,0,6,799,26,1881425,4,2
immigrant,immigrant,3,8,545,10,3,1,79,5174,682,3633715,9,1
immigrants,immigrants,3,9,592,11,3,3,77,9972,1697,5531013,9,2
immigrate,immigrate,3,7,568,10,2,1,5,112,14,152356,8,1
immigration,immigration,4,9,569,9,2,0,128,10643,3396,15879176,7,2
imminent,imminent,3,7,474,9,3,1,123,1863,404,2023614,8,3
immobilization,immobilization,6,12,993,10,1,0,1,67,1,309743,7,4
immobilize,immobilize,4,8,661,11,3,1,7,92,10,78080,9,3
immodest,immodest,3,7,828,9,2,1,18,79,14,60945,8,2
immodesty,immodesty,4,8,630,9,2,1,1,28,2,16131,8,2
immoral,immoral,3,6,429,8,6,1,133,993,283,1062885,5,2
immorality,immorality,5,8,642,8,0,1,22,242,33,313104,4,3
immortal,immortal,3,7,524,9,3,2,260,805,93,2278580,8,2
immortalized,immortalized,4,10,700,12,1,2,16,233,28,202422,10,4
immune,immune,2,5,416,7,3,2,221,3995,570,8368663,6,1
immunity,immunity,4,8,569,8,1,1,216,1650,412,3620894,7,2
immunization,immunization,5,11,704,13,1,1,11,401,73,2406054,12,3
immutability,immutability,6,12,775,8,0,0,1,21,1,50218,8,2
impacts,impacts,2,7,615,7,4,3,18,3843,277,12586668,7,2
impair,impair,2,5,649,7,3,1,8,283,22,1051194,6,1
impaired,impaired,2,6,556,7,4,0,43,3022,151,5607542,6,3
impairment,impairment,3,9,596,11,1,1,10,2748,39,4359947,10,2
impairments,impairments,3,10,768,11,1,1,0,2362,10,1258385,10,3
impale,impale,2,5,506,7,3,3,17,40,4,55610,6,2
impaling,impaling,3,7,521,6,2,0,2,43,1,50893,6,3
impart,impart,2,6,463,7,3,5,27,461,28,694505,7,1
impartial,impartial,3,8,688,10,1,0,51,553,131,1676218,9,3
imparting,imparting,3,8,511,8,2,2,3,168,9,235801,8,3
imparts,imparts,2,7,688,7,4,7,2,159,7,263766,7,2
impasse,impasse,2,5,575,7,2,0,14,598,119,464301,6,2
impassioned,impassioned,3,8,668,10,1,0,19,432,80,316180,8,4
impassively,impassively,4,9,768,10,0,0,0,114,3,22765,8,4
impatience,impatience,3,8,708,9,2,0,35,723,66,410968,8,2
impatient,impatient,3,8,678,10,3,2,206,1485,165,902793,9,2
impatiently,impatiently,4,10,808,10,0,0,12,660,5,267960,9,3
impeached,impeached,2,6,648,9,1,1,27,171,88,289133,6,2
impeachment,impeachment,3,9,727,12,1,1,29,739,382,1310822,10,2
impeccable,impeccable,4,9,551,10,0,1,81,516,61,715896,8,1
impediment,impediment,4,10,566,11,1,1,30,454,76,524147,11,1
impel,impel,2,5,479,6,3,4,3,56,4,86447,6,1
impelled,impelled,2,6,525,7,4,0,6,189,3,154071,6,2
impelling,impelling,3,7,542,7,3,0,0,33,5,40912,6,2
impending,impending,3,8,645,7,1,1,55,1267,113,1301330,7,3
impenetrable,impenetrable,5,12,823,6,0,0,52,488,25,321026,6,2
imperative,imperative,4,9,778,11,1,1,127,1938,200,2618155,10,1
