Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
impressionable,impressionable,5,12,828,11,0,0,43,178,37,172509,10,1
impressionism,impressionism,5,12,664,13,0,2,6,179,3,552125,10,3
impressionist,impressionist,4,11,838,14,1,2,15,423,25,560436,10,3
impressions,impressions,3,9,634,11,1,1,159,1463,231,4745087,9,3
impressive,impressive,3,8,575,11,2,0,865,5774,715,8964295,9,3
imprint,imprint,2,7,581,8,1,1,64,694,47,4815199,8,1
imprison,imprison,3,8,555,9,2,1,20,120,20,169042,9,1
imprisoned,imprisoned,3,9,611,9,2,0,105,1342,198,1536490,9,2
imprisonment,imprisonment,4,12,641,9,0,0,93,991,159,2964248,9,2
improbable,improbable,4,10,650,10,0,1,37,834,86,943478,9,2
impromptu,impromptu,3,9,547,6,0,0,43,610,51,561096,6,1
improper,improper,3,7,551,9,0,0,57,1195,310,3121578,8,2
improperly,improperly,4,9,828,9,0,0,30,655,112,1295182,8,3
impropriety,impropriety,5,11,653,11,1,0,25,221,68,206350,12,NA
improve,improve,2,6,575,8,3,3,413,16495,1844,61307903,7,1
improved,improved,2,7,639,8,2,2,230,10101,786,27400141,7,3
improvement,improvement,3,10,721,12,1,1,198,8211,724,37134079,11,2
improvements,improvements,3,11,751,12,1,1,58,4572,295,18727612,11,3
improves,improves,2,7,819,8,2,2,32,1533,133,4943184,7,2
improving,improving,3,8,495,8,0,0,119,6262,635,17856784,7,3
improvisation,improvisation,5,12,774,14,1,1,20,1009,66,958793,13,2
improvised,improvised,3,9,918,10,2,5,29,781,117,689814,9,2
improvises,improvises,4,10,713,10,0,3,4,50,6,24173,9,2
imprudent,imprudent,3,9,467,10,1,0,12,111,20,147282,10,2
impudence,impudence,3,9,620,8,1,1,26,40,0,71854,9,1
impudently,impudently,4,11,654,8,1,1,0,12,1,17911,9,2
impulse,impulse,2,6,531,8,0,2,269,2285,202,3215273,7,1
impulses,impulses,3,8,604,8,1,2,109,924,83,855324,8,2
impulsive,impulsive,3,8,677,10,2,0,137,575,76,486231,9,3
impunity,impunity,4,9,646,5,1,3,18,508,90,666112,8,1
impurity,impurity,4,9,540,8,1,1,7,83,2,517636,10,3
in,in,1,2,292,3,119,58,498444,4677345,956546,8469414438,3,1
inability,inability,5,9,569,6,0,0,81,3110,334,3880337,6,2
inaccessible,inaccessible,5,11,664,11,0,0,20,576,39,1014520,10,3
inaccurate,inaccurate,4,8,639,11,0,0,26,1230,279,2700913,9,2
inaction,inaction,3,7,738,7,1,0,7,519,113,600290,5,1
inactivate,inactivate,4,9,542,11,1,2,0,55,4,131475,10,NA
inactive,inactive,3,7,607,8,1,0,34,529,31,4678712,8,3
inadequacies,inadequacies,5,11,838,10,0,0,10,236,25,284546,9,3
inadequacy,inadequacy,5,10,737,10,0,0,17,465,22,419733,5,2
inadequate,inadequate,4,9,838,11,1,0,95,3219,294,4892298,10,2
inadmissible,inadmissible,5,11,649,12,1,2,34,108,31,353489,10,2
inadvertent,inadvertent,4,10,654,12,2,0,11,297,42,497023,11,3
inadvertently,inadvertently,5,12,662,12,1,0,54,1051,126,1075556,11,4
inadvisable,inadvisable,5,11,958,6,1,0,4,39,3,70385,6,3
inalienable,inalienable,5,11,532,4,0,2,20,241,26,316410,4,NA
inanimate,inanimate,4,8,454,6,0,0,38,318,12,342975,6,2
inanity,inanity,4,7,536,6,1,2,1,24,0,51255,6,2
inappropriate,inappropriate,5,11,636,14,0,0,338,3253,812,7855194,6,2
inapt,inapt,2,5,451,5,4,1,0,11,3,17603,5,2
inasmuch,inasmuch,3,7,597,4,0,0,26,336,25,591973,4,1
inattentive,inattentive,4,9,787,10,0,0,4,164,18,188239,7,2
inaudible,inaudible,4,8,567,9,1,1,29,3322,3124,533047,7,2
inaugural,inaugural,4,7,573,9,1,0,20,1427,379,2013884,6,1
inaugurate,inaugurate,4,8,516,11,2,3,5,105,15,139672,9,1
inaugurated,inaugurated,5,10,720,11,2,3,7,505,110,672161,10,2
inaugurating,inaugurating,5,10,878,11,1,0,0,54,6,75026,10,2
inauguration,inauguration,5,10,814,13,1,1,11,1127,453,999762,11,2
inboard,inboard,2,6,501,5,2,1,10,96,3,299263,6,1
inborn,inborn,2,6,698,5,2,2,4,146,9,211104,6,2
inbound,inbound,2,6,509,5,1,1,62,109,15,2690268,4,2
inbreed,inbreed,2,6,434,8,1,1,0,10,1,10662,7,1
inbreeding,inbreeding,3,8,522,8,0,0,15,326,5,232689,7,3
incandescence,incandescence,4,11,878,12,1,0,7,34,1,51702,11,2
incandescent,incandescent,4,11,713,12,1,0,17,412,41,746311,11,2
incantation,incantation,4,10,770,9,0,0,28,114,4,194203,7,2
incapable,incapable,4,9,660,7,0,0,173,1400,154,1541556,5,2
incarcerate,incarcerate,4,9,729,12,1,2,10,81,26,50452,10,1
incarceration,incarceration,5,11,836,12,0,0,40,846,99,870763,9,2
incarnation,incarnation,4,10,645,12,1,1,18,948,44,1065224,11,2
incarnations,incarnations,4,11,988,12,1,1,4,165,17,293293,11,3
incautious,incautious,3,7,750,5,0,0,1,46,6,20763,5,2
incendiaries,incendiaries,5,11,881,10,1,0,4,20,0,22661,11,NA
incense,incense,2,6,588,8,3,2,92,609,31,3033124,7,1
incensed,incensed,2,7,687,8,3,2,10,327,55,182230,7,3
incentive,incentive,3,8,778,10,3,3,100,3588,636,8145211,9,1
incentives,incentives,3,9,778,10,1,2,12,4349,654,8625429,9,2
inception,inception,3,8,623,5,2,0,21,955,70,2394773,6,1
incertitude,incertitude,4,9,679,5,0,0,0,8,0,16563,7,NA
incessant,incessant,3,8,619,10,0,0,23,386,19,391925,9,1
incest,incest,2,6,551,7,8,4,44,686,239,51394714,6,1
inch,inch,1,3,429,5,33,18,631,18072,831,35632579,4,1
inches,inches,2,5,579,7,3,7,660,12442,960,28018932,4,2
incident,incident,3,8,552,9,3,1,883,7745,2530,13553737,9,1
incidental,incidental,4,10,644,11,2,1,28,734,31,3084963,11,2
incidentally,incidentally,4,10,626,11,1,0,193,1154,400,1455849,9,3
incidentals,incidentals,4,11,742,11,2,1,14,33,5,177563,11,NA
incidents,incidents,3,9,537,9,2,1,135,3602,916,6230779,9,2
incinerate,incinerate,4,8,639,11,1,1,18,59,9,86749,9,1
incipher,incipher,3,6,599,6,0,1,0,0,0,0,4,NA
incipience,incipience,4,9,707,10,2,1,0,5,0,3741,10,NA
incipiency,incipiency,5,10,710,10,1,1,0,1,0,3405,10,NA
incisor,incisor,3,6,615,8,4,1,8,37,1,90895,7,2
incited,incited,3,7,586,7,6,6,8,155,34,134413,7,3
incitements,incitements,3,10,639,11,2,1,0,10,0,13976,10,3
inclinations,inclinations,4,11,868,12,1,1,11,282,16,256753,11,3
incline,incline,2,6,703,8,3,3,19,470,19,900347,7,1
inclined,inclined,2,7,627,8,4,4,169,2593,367,2681483,7,2
include,include,2,6,649,8,1,3,568,37731,2600,182581850,7,1
included,included,3,8,558,8,1,2,382,28428,1663,92005384,7,2
includes,includes,2,7,602,8,1,3,269,19761,1625,112468681,7,2
including,including,3,8,592,7,1,0,1405,74244,9432,214197016,8,2
inclusion,inclusion,3,8,780,10,1,1,10,3324,139,10306105,9,1
inclusive,inclusive,3,8,684,10,0,0,11,2008,170,10525459,9,1
incoherently,incoherently,5,12,845,11,0,0,9,64,11,57277,11,4
income,income,2,5,392,7,6,2,378,24729,4417,79241199,6,2
incomes,incomes,2,6,594,7,1,1,11,2282,389,2854711,6,2
incommensurate,incommensurate,5,12,778,7,0,0,0,14,0,49985,6,2
incomparability,incomparability,7,15,856,11,0,0,0,2,0,7046,7,3
incomparable,incomparable,5,11,663,12,0,1,48,243,22,510504,10,3
