idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50
2188,bridge,brIJ,6,4,2,2,4
2189,brief,brif,8,6,2,3,5
2190,brig,brIg,10,8,2,4,6
2194,bright,brYt,14,11,3,6,8
2195,brighten,brYtN,2,1,1,1,1
2201,bring,brIG,8,5,3,3,5
2202,brink,brIGk,8,5,3,5,3
2203,brio,brio,7,6,1,1,6
2206,brisk,brIsk,7,4,3,4,3
2212,Briton,brItN,4,2,2,3,1
2214,broach,broC,5,4,1,1,4
2215,broad,brcd,13,11,2,2,11
2223,brogue,brog,7,6,1,2,5
2225,broil,brOl,3,2,1,1,2
2226,broke,brok,9,8,1,2,7
2237,brood,brud,14,12,2,4,10
2238,brook,brUk,6,4,2,3,3
2239,broom,brum,10,7,3,4,6
2240,broth,brcT,8,7,1,3,5
2243,brougham,brom,7,6,1,2,5
2244,brought,brct,10,8,2,3,7
2246,brow,brW,7,4,3,1,6
2247,brown,brWn,10,8,2,3,7
2250,browse,brWz,8,6,2,3,5
2252,bruise,bruz,10,8,2,3,7
2253,bruit,brut,12,8,4,4,8
2254,brunch,br^nC,4,3,1,3,1
2256,brunt,br^nt,6,4,2,5,1
2257,brush,br^S,5,4,1,4,1
2259,brutal,brutL,3,1,2,1,2
2265,buck,b^k,29,26,3,16,13
2267,buckle,b^kL,6,5,1,3,3
2272,bud,b^d,23,21,2,12,11
2275,buddy,b^di,6,5,1,4,2
2276,budge,b^J,15,14,1,4,11
2279,buff,b^f,20,18,2,9,11
2281,buffer,b^fX,4,3,1,2,2
2284,bug,b^g,26,25,1,15,11
2287,buggy,b^gi,5,4,1,3,2
2289,build,bIld,11,9,2,3,8
2290,built,bIlt,18,15,3,10,8
2295,bulge,b^lJ,4,3,1,1,3
2296,bulk,b^lk,7,6,1,3,4
2298,bull,bUl,13,12,1,10,3
2299,bullet,bUl|t,5,3,2,4,1
2304,bully,bUli,8,7,1,6,2
2307,bum,b^m,24,23,1,13,11
2309,bump,b^mp,9,8,1,8,1
2312,bun,b^n,30,28,2,18,12
2313,bunch,b^nC,8,6,2,6,2
2316,bung,b^G,19,18,1,8,11
2321,bunk,b^Gk,14,10,4,9,5
2322,bunker,b^GkX,4,3,1,2,2
2323,bunko,b^Gko,3,2,1,1,2
2324,bunt,b^nt,12,8,4,8,4
2326,buoy,bui,11,6,5,1,10
2328,bur,bR,22,14,8,8,14
2329,burden,bRdN,4,3,1,2,2
2338,burgher,bRgX,4,3,1,1,3
2344,burial,bEriL,3,1,2,1,2
2347,burly,bRli,7,6,1,5,2
2349,burn,bRn,22,18,4,13,9
2350,burned,bRnd,9,7,2,6,3
2353,burnt,bRnt,5,4,1,2,3
2354,burp,bRp,8,7,1,1,7
2358,burst,bRst,15,14,1,12,3
2359,bus,b^s,20,17,3,8,12
2362,bush,bUS,6,5,1,3,3
2369,bust,b^st,17,15,2,13,4
2370,bustle,b^sL,9,8,1,5,4
2373,but,b^t,35,30,5,21,14
2375,butler,b^tlX,2,1,1,1,1
2376,butte,byut,5,3,2,4,1
2377,butter,b^tX,13,10,3,9,4
2382,button,b^tN,6,5,1,4,2
2385,buy,bY,29,23,6,17,12
2391,c,si,40,25,15,19,21
2392,cab,k@b,22,19,3,11,11
2397,cabbie,k@bi,12,9,3,5,7
2406,cache,k@S,25,19,6,12,13
2407,cachet,k@Se,5,4,1,1,4
2408,cackle,k@kL,12,11,1,6,6
2411,cad,k@d,30,26,4,18,12
2414,caddy,k@di,12,9,3,3,9
2428,cage,keJ,17,15,2,8,9
2430,cairn,kErn,4,2,2,2,2
2435,cake,kek,26,23,3,17,9
2453,calf,k@f,19,17,2,8,11
2462,calk,kck,17,15,2,12,5
2463,call,kcl,26,23,3,21,5
2464,calla,k@lx,7,4,3,3,4
2470,callous,k@lxs,5,4,1,4,1
2471,callow,k@lo,9,8,1,8,1
2472,callus,k@lxs,5,4,1,4,1
2473,calm,kam,17,15,2,8,9
2483,calve,k@v,17,15,2,5,12
2484,calves,k@vz,4,3,1,2,2
2489,cam,k@m,27,22,5,15,12
2491,camber,k@mbX,5,3,2,4,1
2494,came,kem,24,21,3,15,9
2495,camel,k@mL,8,7,1,1,7
2502,camp,k@mp,12,7,5,9,3
2510,can,k@n,35,27,8,21,14
2520,cancel,k@nsL,9,8,1,6,3
2522,cancer,k@nsX,6,4,2,2,4
2530,candle,k@ndL,11,9,2,6,5
2532,candor,k@ndX,10,8,2,4,6
2533,candy,k@ndi,10,6,4,3,7
2534,cane,ken,33,30,3,24,9
2538,canned,k@nd,16,10,6,8,8
2539,canner,k@nX,11,6,5,3,8
2540,cannery,k@nXi,4,2,2,1,3
2549,canny,k@ni,14,10,4,2,12
2550,canoe,kxnu,2,1,1,1,1
2554,cant,k@nt,18,9,9,7,11
2560,canter,k@ntX,11,9,2,4,7
2563,cantle,k@ntL,9,6,3,2,7
2564,canto,k@nto,5,4,1,1,4
2571,cap,k@p,30,28,2,19,11
2579,cape,kep,26,21,5,15,11
2580,caper,kepX,9,8,1,6,3
2602,capsule,k@psL,3,1,2,2,1
2614,car,kar,24,18,6,12,12
2618,carafe,kX@f,4,3,1,2,2
2638,card,kard,15,13,2,10,5
2643,care,kEr,23,19,4,18,5
2644,careen,kXin,8,6,2,6,2
2653,caries,k@riz,3,2,1,1,2
2660,carnal,karnL,5,3,2,2,3
2671,carom,k@rM,5,4,1,2,3
2676,carp,karp,8,5,3,2,6
2683,carrier,k@riX,5,4,1,3,2
2685,carry,k@ri,19,15,4,9,10
2686,cart,kart,14,10,4,8,6
2687,cartage,kartIJ,4,1,3,1,3
2692,carton,kartN,5,3,2,4,1
2694,cartridge,kartrIJ,3,2,1,1,2
2701,case,kes,22,19,3,12,10
2709,cask,k@sk,7,5,2,4,3
2715,cassock,k@sxk,2,1,1,1,1
2716,cast,k@st,13,11,2,8,5
2723,castle,k@sL,15,12,3,7,8
2725,castor,k@stX,6,4,2,5,1
2732,cat,k@t,35,30,5,21,14
2750,catch,k@C,20,19,1,9,11
2756,cater,ketX,6,5,1,5,1
2772,cattle,k@tL,14,12,2,7,7
2773,catty,k@ti,14,13,1,6,8
2779,caught,kct,23,20,3,17,6
2786,cause,kcz,10,7,3,4,6
2797,cave,kev,22,19,3,12,10
2801,cavil,k@vL,9,8,1,2,7
2804,cavy,kevi,5,4,1,3,2
2805,caw,kc,23,16,7,11,12
2806,cay,ki,29,23,6,19,10
2808,cease,sis,18,16,2,6,12
2810,cedar,sidX,6,5,1,3,3
2811,cede,sid,27,22,5,15,12
2819,celery,sElXi,2,1,1,1,1
2822,cell,sEl,26,19,7,19,7
2823,cellar,sElX,10,6,4,3,7
2831,celt,sElt,18,14,4,12,6
2843,censure,sEnCX,5,4,1,2,3
2845,cent,sEnt,22,16,6,13,9
2851,center,sEntX,9,5,4,5,4
2894,chafe,Cef,7,6,1,4,3
2895,chafer,CefX,4,3,1,2,2
2896,chaff,C@f,9,8,1,6,3
2897,chaffer,C@fX,4,3,1,2,2
2900,chain,Cen,19,18,1,16,3
2901,chair,CEr,20,18,2,17,3
2904,chalet,S@le,4,3,1,1,3
2909,challis,S@li,13,10,3,8,5
2914,chamois,S@mi,5,4,1,2,3
2916,champ,C@mp,9,8,1,8,1
2919,chance,C@ns,9,7,2,4,5
2920,chancel,C@nsL,6,3,3,2,4
2924,chancy,C@nsi,4,2,2,2,2
2927,change,CenJ,3,2,1,2,1
2929,channel,C@nL,6,5,1,1,5
2932,chant,C@nt,8,6,2,5,3
2938,chap,C@p,20,17,3,15,5
2940,chapel,C@pL,6,4,2,2,4
2946,chaps,C@ps,7,5,2,4,3
2948,char,Car,19,14,5,12,7
2957,chard,Card,13,12,1,9,4
2958,charge,CarJ,8,6,2,3,5
2966,charm,Carm,7,5,2,3,4
2968,chart,Cart,12,9,3,7,5
2969,charter,CartX,6,5,1,4,2
2972,chary,C@ri,12,11,1,10,2
2973,chase,Ces,17,13,4,12,5
2974,chaser,CesX,5,4,1,1,4
2976,chassis,C@si,4,3,1,2,2
2977,chaste,Cest,9,8,1,6,3
2978,chasten,CesN,6,5,1,3,3
2982,chat,C@t,22,17,5,16,6
2985,chattel,C@tL,9,8,1,4,5
2986,chatter,C@tX,13,10,3,9,4
2988,chatty,C@ti,9,8,1,4,5
2996,cheat,Cit,17,16,1,13,4
2997,check,CEk,15,14,1,12,3
3005,cheek,Cik,21,19,2,16,5
3007,cheer,CIr,27,25,2,20,7
3009,cheery,CIri,8,6,2,7,1
3010,cheese,Ciz,13,12,1,9,4
3011,chef,SEf,8,6,2,4,4
3012,chela,kilx,4,3,1,2,2
3022,cherry,CEri,10,8,2,9,1
3026,chess,CEs,11,9,2,8,3
3027,chest,CEst,13,12,1,12,1
3033,chew,Cu,20,19,1,18,2
3037,chic,Sik,24,21,3,17,7
3039,chick,CIk,23,22,1,16,7
3044,chid,CId,16,14,2,9,7
3045,chidden,CIdN,5,4,1,4,1
3046,chide,CYd,12,11,1,9,3
3056,child,CYld,4,3,1,3,1
3061,chill,CIl,22,21,1,16,6
3065,chimp,CImp,6,4,2,5,1
3067,chin,CIn,21,20,1,15,6
3071,chink,CIGk,12,10,2,11,1
3074,chip,CIp,24,22,2,16,8
3076,chipper,CIpX,6,5,1,4,2
3083,chit,CIt,22,21,1,16,6
3100,choke,Cok,17,16,1,15,2
3101,choler,kalX,13,8,5,4,9
3106,choose,Cuz,10,7,3,8,2
3107,choosey,Cuzi,4,2,2,3,1
3108,chop,Cap,18,16,2,13,5
3109,choppy,Capi,4,3,1,2,2
3110,chops,Caps,5,4,1,3,2
3112,choral,korL,12,7,5,4,8
3113,chord,kord,19,15,4,10,9
3114,chore,Cor,21,20,1,19,2
3119,chorus,kor|s,4,2,2,1,3
3120,chose,Coz,12,11,1,9,3
3133,chrome,krom,11,7,4,3,8
3137,chronic,kranIk,3,1,2,2,1
3147,chub,C^b,12,11,1,8,4
3149,chuck,C^k,20,17,3,14,6
3150,chuckle,C^kL,5,4,1,3,2
3152,chukka,C^kx,4,3,1,2,2
3153,chum,C^m,16,14,2,11,5
3154,chummy,C^mi,7,6,1,4,3
3155,chump,C^mp,12,11,1,10,2
3156,chunk,C^Gk,10,9,1,9,1
3158,churl,CRl,11,10,1,7,4
3159,churn,CRn,13,12,1,9,4
