lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
collie,3452,collie,kali,12,10,2,6,6,collie,2,4,441,7,143,19,53,236,16,1191722,5,1
weasel,18867,weasel,wizL,3,2,1,2,1,weasel,2,5,421,7,22,12,250,434,13,883023,6,1
handle,7621,handle,h@ndL,7,6,1,4,3,handle,2,6,508,7,35,13,5529,14094,2810,32319924,7,1
stout,16427,stout,stWt,6,5,1,4,2,stout,1,4,424,6,12,12,53,1100,69,1939719,5,1
myth,11346,myth,mIT,15,14,1,8,7,myth,1,3,361,5,53,7,352,4390,471,6054397,4,1
chum,3153,chum,C^m,16,14,2,11,5,chum,1,3,478,5,48,18,156,264,24,579859,4,1
sin,15709,sin,sIn,31,25,6,21,10,sin,1,3,390,4,125,52,813,4503,505,17951039,4,1
fast,6246,fast,f@st,15,13,2,10,5,fast,1,4,556,5,43,30,7010,27159,4587,93956028,5,1
harem,7657,harem,h@rM,4,3,1,2,2,harem,2,5,363,5,18,7,45,300,25,435962,5,1
booby,2049,booby,bubi,6,5,1,3,3,booby,2,4,439,5,46,7,129,249,55,381428,4,1
poker,13220,poker,pokX,8,6,2,4,4,poker,2,4,398,6,39,15,819,1501,266,129058482,5,2
cry,4263,cry,krY,10,7,3,6,4,cry,1,3,382,4,52,19,3348,8936,1708,11631614,4,1
polar,13222,polar,polX,12,11,1,7,5,polar,2,4,417,6,73,9,135,2152,187,7716475,5,1
mere,10713,mere,mIr,31,27,4,23,8,mere,1,3,405,5,111,38,401,6561,335,7312247,4,1
mind,10859,mind,mYnd,12,11,1,8,4,mind,1,4,488,5,39,29,24715,54610,11786,75405356,5,1
harm,7661,harm,harm,9,8,1,3,6,harm,1,4,440,5,40,30,1621,7124,1524,10026586,5,1
lung,10189,lung,l^G,18,15,3,12,6,lung,1,3,379,5,49,33,420,3034,628,10318853,4,1
abode,52,abode,xbod,4,2,2,1,3,abode,2,4,509,4,10,4,33,213,12,1250165,3,1
arouse,1053,arouse,xrWz,4,3,1,3,1,arouse,2,3,709,7,44,11,62,383,35,430328,4,1
offend,11877,offend,xfEnd,7,5,2,6,1,offend,2,5,514,7,11,2,266,852,262,1254866,6,1
he,7716,he,hi,33,24,9,18,15,he,1,2,388,3,175,59,389497,1741940,427494,842847219,3,1
air,438,air,Er,30,13,17,19,11,air,1,2,322,4,154,35,7090,69259,13508,160853049,3,1
groan,7435,groan,gron,15,13,2,5,10,groan,1,4,406,6,55,11,47,656,29,473578,5,1
really,14308,really,rili,4,3,1,2,2,really,2,4,349,6,110,6,76508,175972,98022,162055598,5,2
