Item,Experiment,Release,Subject,Trial,List,WordRunLength,ExperimentRunID,RT,Session,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
owl,MALD1_sR,MALD1,15301,656,words9,1,15301_76,714,76,12218,owl,Wl,15,10,5,13,2,1,2,343,4,61,14,286,1467,134,5013390,3,1
pal,MALD1_sR,MALD1,15301,701,words9,1,15301_76,866,76,12275,pal,p@l,20,19,1,10,10,1,3,469,4,82,47,2937,1803,312,9995683,4,1
parrot,MALD1_sR,MALD1,15301,509,words9,3,15301_76,1018,76,12456,parrot,p@rxt,6,4,2,4,2,2,5,359,7,24,6,167,752,95,2682859,6,1
patriarchal,MALD1_sR,MALD1,15301,693,words9,3,15301_76,664,76,12548,patriarchal,petriarkL,2,1,1,1,1,4,10,674,11,2,1,14,856,22,434296,10,2
pit,MALD1_sR,MALD1,15301,587,words9,3,15301_76,697,76,13054,pit,pIt,33,30,3,23,10,1,3,243,4,87,42,674,3729,392,8536397,4,1
plight,MALD1_sR,MALD1,15301,635,words9,7,15301_76,1800,76,13156,plight,plYt,11,8,3,6,5,1,4,370,4,25,5,63,1579,278,1330993,4,1
record,MALD1_sR,MALD1,15301,383,words9,1,15301_76,705,76,14379,record,rIkord,2,1,1,1,1,2,6,525,7,6,7,4365,36369,9383,102244532,7,1
refute,MALD1_sR,MALD1,15301,716,words9,5,15301_76,974,76,14463,refute,rIfyut,3,2,1,1,2,2,6,418,7,2,7,34,370,74,556518,7,1
sewer,MALD1_sR,MALD1,15301,418,words9,1,15301_76,694,76,15497,sewer,suX,9,6,3,1,8,2,3,426,6,68,16,240,1088,130,5008805,4,1
six,MALD1_sR,MALD1,15301,48,words9,1,15301_76,860,76,15738,six,sIks,8,7,1,5,3,1,4,472,4,74,30,10176,68004,14427,71373283,5,1
sold,MALD1_sR,MALD1,15301,62,words9,1,15301_76,725,76,15953,sold,sold,15,12,3,10,5,1,4,579,5,53,25,2655,18763,3095,42980371,5,1
taste,MALD1_sR,MALD1,15301,440,words9,2,15301_76,589,76,17006,taste,test,9,8,1,7,2,1,4,375,6,34,14,2617,14001,1677,17312480,5,1
three,MALD1_sR,MALD1,15301,555,words9,2,15301_76,778,76,17293,three,Tri,9,8,1,7,2,1,3,454,6,47,7,27654,189312,36451,223420478,4,1
