"","name","ortho","phono"
"2066","2066","booze","buz"
"2068","2068","border","bordX"
"2069","2069","boreal","boriL"
"2071","2071","born","born"
"2072","2072","boron","boran"
"2073","2073","borough","bRo"
"2074","2074","borrow","baro"
"2084","2084","both","boT"
"2086","2086","bottle","batL"
"2087","2087","bottom","batM"
"2090","2090","bough","bW"
"2091","2091","bought","bct"
"2092","2092","boulder","boldX"
"2101","2101","bouquet","boke"
"2106","2106","bout","bWt"
"2107","2107","boutique","butik"
"2111","2111","bowel","bWL"
"2112","2112","bower","bWX"
"2114","2114","bowler","bolX"
"2118","2118","box","baks"
"2122","2122","brace","bres"
"2124","2124","bracket","br@k|t"
"2126","2126","bract","br@kt"
"2127","2127","brad","br@d"
"2128","2128","brae","bre"
"2133","2133","braid","bred"
"2134","2134","braille","brel"
"2135","2135","brain","bren"
"2136","2136","braise","brez"
"2137","2137","brake","brek"
"2138","2138","bramble","br@mbL"
"2139","2139","bran","br@n"
"2140","2140","branch","br@nC"
"2141","2141","brand","br@nd"
"2143","2143","brandy","br@ndi"
"2144","2144","brash","br@S"
"2145","2145","brass","br@s"
"2147","2147","brat","br@t"
"2149","2149","brave","brev"
"2153","2153","brawl","brcl"
"2155","2155","brazen","brezN"
"2158","2158","breach","briC"
"2159","2159","bread","brEd"
"2160","2160","breadth","brEdT"
"2167","2167","bream","brIm"
"2168","2168","breast","brEst"
"2171","2171","breath","brET"
"2174","2174","breed","brid"
"2181","2181","brew","bru"
"2184","2184","brick","brIk"
"2185","2185","bridal","brYdL"
"2186","2186","bride","brYd"
"2189","2189","brief","brif"
"2194","2194","bright","brYt"
"2195","2195","brighten","brYtN"
"2201","2201","bring","brIG"
"2202","2202","brink","brIGk"
"2206","2206","brisk","brIsk"
"2212","2212","Briton","brItN"
"2214","2214","broach","broC"
"2223","2223","brogue","brog"
"2237","2237","brood","brud"
"2239","2239","broom","brum"
"2240","2240","broth","brcT"
"2243","2243","brougham","brom"
"2244","2244","brought","brct"
"2246","2246","brow","brW"
"2247","2247","brown","brWn"
"2248","2248","brownie","brWni"
"2250","2250","browse","brWz"
"2252","2252","bruise","bruz"
"2253","2253","bruit","brut"
"2259","2259","brutal","brutL"
"2261","2261","brutally","brutLi"
"2289","2289","build","bIld"
"2290","2290","built","bIlt"
"2326","2326","buoy","bui"
"2328","2328","bur","bR"
"2329","2329","burden","bRdN"
"2338","2338","burgher","bRgX"
"2344","2344","burial","bEriL"
"2347","2347","burly","bRli"
"2349","2349","burn","bRn"
"2350","2350","burned","bRnd"
"2353","2353","burnt","bRnt"
"2354","2354","burp","bRp"
"2358","2358","burst","bRst"
"2376","2376","butte","byut"
"2385","2385","buy","bY"
"2388","2388","byelaw","bYlc"
"2391","2391","c","si"
"2392","2392","cab","k@b"
"2397","2397","cabbie","k@bi"
"2400","2400","cable","kebL"
"2406","2406","cache","k@S"
"2407","2407","cachet","k@Se"
"2408","2408","cackle","k@kL"
"2411","2411","cad","k@d"
"2414","2414","caddy","k@di"
"2420","2420","cadre","k@dri"
"2422","2422","Caesar","sizX"
"2428","2428","cage","keJ"
"2430","2430","cairn","kErn"
"2435","2435","cake","kek"
"2462","2462","calk","kck"
