node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
15095,salt,sclt,11,8,3,7,4,salt,1,4,488,5,32,25,995,20309,1198,25323008,5,1
1570,barrow,b@ro,10,9,1,7,3,barrow,2,4,337,7,77,24,61,471,11,2049454,5,1
14192,raisin,rezN,7,5,2,5,2,raisin,2,5,489,7,8,5,83,438,37,724623,6,1
3495,come,k^m,22,20,2,16,6,come,1,3,376,5,101,32,160190,168892,61354,154346337,4,1
16237,stab,st@b,7,6,1,3,4,stab,1,4,489,5,33,21,447,958,199,1648037,5,1
15868,smog,smcg,2,2,0,0,2,smog,1,4,527,5,6,3,55,667,46,1024854,5,1
7340,grain,gren,20,16,4,7,13,grain,1,4,459,6,69,18,243,5014,520,10244623,5,1
15607,should,SUd,10,10,0,8,2,should,1,3,411,7,30,1,54159,198201,53707,402032013,4,1
15085,salary,s@lXi,4,3,1,3,1,salary,3,5,568,7,17,3,548,5762,824,21156261,6,1
7206,glee,gli,15,7,8,10,5,glee,1,3,354,5,87,12,58,765,135,524041,4,1
18805,warm,worm,11,8,3,4,7,warm,1,4,458,5,31,18,2659,19131,1698,22647084,5,1
2571,cap,k@p,30,28,2,19,11,cap,1,3,409,4,117,47,956,8620,1254,25442468,4,1
17301,thrift,TrIft,3,2,1,3,0,thrift,1,5,432,7,10,4,22,1006,143,1384574,6,1
6969,gambit,g@mbxt,1,0,1,0,1,gambit,2,6,427,7,1,2,19,264,42,680847,5,1
14188,rain,ren,38,28,10,24,14,rain,1,3,414,5,199,47,2494,15084,2069,26429782,4,1
15590,shock,Sak,21,20,1,17,4,shock,1,3,427,6,130,16,1468,9056,1919,14853008,4,1
17886,twice,twYs,2,2,0,1,1,twice,1,4,507,5,11,5,3191,16586,2725,19946243,4,1
12382,parade,pXed,2,0,2,1,1,parade,2,4,396,7,11,6,657,4138,884,8630290,5,1
