lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
ballast,1467,ballast,b@l|st,1,0,1,0,1
ballet,1470,ballet,b@le,1,1,0,1,0
balloon,1472,balloon,bxlun,2,2,0,1,1
ballot,1473,ballot,b@l|t,6,5,1,5,1
balm,1476,balm,bam,13,12,1,6,7
ban,1482,ban,b@n,30,25,5,17,13
band,1486,band,b@nd,19,13,6,14,5
bandy,1497,bandy,b@ndi,6,4,2,4,2
bane,1498,bane,ben,32,28,4,23,9
bang,1499,bang,b@G,19,18,1,8,11
bangle,1500,bangle,b@GgL,8,7,1,8,0
bani,1501,bani,bani,7,7,0,3,4
bank,1505,bank,b@Gk,15,11,4,12,3
banner,1508,banner,b@nX,10,8,2,4,6
banns,1510,banns,b@nz,5,4,1,1,4
banshee,1513,banshee,b@nSi,1,1,0,0,1
banter,1515,banter,b@ntX,4,2,2,2,2
bantu,1517,Bantu,b@ntu,1,1,0,0,1
bar,1524,bar,bar,24,17,7,12,12
barb,1525,barb,barb,10,6,4,1,9
barbed,1532,barbed,barbd,3,1,2,0,3
barber,1534,barber,barbX,6,4,2,2,4
bard,1539,bard,bard,19,17,2,11,8
bare,1540,bare,bEr,26,21,5,18,8
barge,1542,barge,barJ,9,8,1,3,6
bark,1545,bark,bark,15,11,4,7,8
barker,1547,barker,barkX,3,2,1,0,3
barley,1548,barley,barli,1,1,0,1,0
barn,1549,barn,barn,11,10,1,5,6
baroque,1558,baroque,bXok,1,1,0,1,0
barrel,1564,barrel,b@rL,7,7,0,2,5
barrier,1567,barrier,b@riX,3,3,0,3,0
barrow,1570,barrow,b@ro,10,9,1,7,3
barter,1572,barter,bartX,6,6,0,4,2
basal,1573,basal,besL,6,5,1,1,5
basalt,1574,basalt,bxsclt,1,0,1,1,0
base,1576,base,bes,27,20,7,15,12
bash,1578,bash,b@S,24,21,3,14,10
bashful,1579,bashful,b@SfL,1,0,1,0,1
basil,1581,basil,b@zL,6,6,0,2,4
basin,1584,basin,besN,8,7,1,5,3
bask,1586,bask,b@sk,10,7,3,5,5
bass,1588,bass,b@s,23,18,5,10,13
basso,1590,basso,b@so,6,5,1,1,5
bast,1593,bast,b@st,18,15,3,14,4
baste,1595,baste,best,16,14,2,12,4
bat,1598,bat,b@t,40,33,7,25,15
batch,1599,batch,b@C,20,20,0,10,10
bath,1600,bath,b@T,17,17,0,7,10
bathe,1601,bathe,beD,10,9,1,1,9
baths,1605,baths,b@Dz,2,2,0,1,1
batman,1607,batman,b@tmxn,2,1,1,1,1
batsman,1610,batsman,b@tsmxn,1,0,1,0,1
batteau,1612,batteau,b@to,7,6,1,1,6
batten,1613,batten,b@tN,11,10,1,7,4
batter,1614,batter,b@tX,19,15,4,12,7
battery,1615,battery,b@tXi,1,0,1,0,1
batting,1616,batting,b@tIG,4,4,0,4,0
battle,1617,battle,b@tL,14,13,1,6,8
bauble,1618,bauble,bcbL,5,5,0,5,0
bawdy,1620,bawdy,bcdi,3,3,0,3,0
bay,1621,bay,be,35,22,13,17,18
bayou,1624,bayou,bYu,8,6,2,3,5
beach,1627,beach,biC,18,14,4,11,7
bead,1630,bead,bid,26,21,5,17,9
beadle,1631,beadle,bidL,6,5,1,2,4
beagle,1632,beagle,bigL,6,5,1,4,2
beak,1633,beak,bik,28,23,5,19,9
beaked,1634,beaked,bikt,5,3,2,1,4
beaker,1635,beaker,bikX,4,3,1,1,3
beam,1636,beam,bim,16,14,2,9,7
bean,1637,bean,bin,25,23,2,17,8
beanie,1638,beanie,bini,6,5,1,5,1
beard,1639,beard,bIrd,6,4,2,3,3
bearing,1640,bearing,b@rIG,4,3,1,4,0
beast,1642,beast,bist,13,11,2,11,2
beat,1643,beat,bit,33,26,7,22,11
beaten,1644,beaten,bitN,6,4,2,4,2
beau,1648,beau,bo,32,20,12,15,17
beauty,1654,beauty,byuti,3,0,3,2,1
beaux,1655,beaux,boz,18,17,1,10,8
beaver,1656,beaver,bivX,3,3,0,1,2
beck,1659,beck,bEk,19,19,0,14,5
become,1662,become,bxk^m,1,1,0,1,0
bed,1664,bed,bEd,25,21,4,19,6
bedew,1668,bedew,bidu,2,1,1,0,2
beef,1676,beef,bif,15,13,2,8,7
been,1678,been,bIn,27,25,2,19,8
beer,1679,beer,bIr,29,26,3,21,8
beetle,1681,beetle,bitL,6,5,1,2,4
beeves,1682,beeves,bivz,5,4,1,4,1
befall,1683,befall,bxfcl,2,2,0,0,2
befog,1685,befog,bxfcg,1,1,0,0,1
befoul,1687,befoul,bxfWl,2,1,1,1,1
beg,1690,beg,bEg,14,13,1,8,6
beggar,1692,beggar,bEgX,3,2,1,1,2
beige,1705,beige,beZ,9,8,1,0,9
being,1706,being,biIG,1,1,0,1,0
belch,1708,belch,bElC,6,5,1,1,5
belief,1714,belief,bxlif,2,2,0,0,2
believe,1715,believe,bxliv,2,2,0,0,2
bell,1717,bell,bEl,27,22,5,18,9
bellow,1724,bellow,bElo,12,10,2,8,4
belly,1726,belly,bEli,11,10,1,5,6
belong,1727,belong,bxlcG,1,0,1,1,0
belt,1728,belt,bElt,17,15,2,10,7
bench,1732,bench,bEnC,7,6,1,4,3
bend,1733,bend,bEnd,18,15,3,15,3
bent,1746,bent,bEnt,17,16,1,12,5
berber,1753,Berber,bRbX,2,2,0,0,2
beret,1755,beret,bXe,2,1,1,1,1
berg,1756,berg,bRg,13,11,2,5,8
berry,1759,berry,bEri,13,10,3,7,6
berth,1761,berth,bRT,16,14,2,9,7
beryl,1762,beryl,bErL,10,8,2,3,7
best,1770,best,bEst,23,20,3,20,3
bet,1774,bet,bEt,32,27,5,23,9
bethel,1776,bethel,bETL,4,3,1,1,3
better,1778,better,bEtX,8,7,1,6,2
bevel,1781,bevel,bEvL,7,7,0,3,4
bevy,1783,bevy,bEvi,5,5,0,2,3
