lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
smelt,15856,smelt,smElt,5,2,3,3,2
smile,15858,smile,smYl,5,4,1,2,3
smirch,15859,smirch,smRC,3,2,1,1,2
smirk,15860,smirk,smRk,5,4,1,1,4
smite,15861,smite,smYt,8,5,3,5,3
smith,15862,smith,smIT,3,1,2,1,2
smithy,15864,smithy,smITi,1,0,1,0,1
smitten,15866,smitten,smItN,1,0,1,1,0
smock,15867,smock,smak,6,4,2,3,3
smog,15868,smog,smcg,2,2,0,0,2
smoke,15869,smoke,smok,7,6,1,3,4
smooth,15870,smooth,smuD,1,0,1,1,0
smote,15872,smote,smot,6,5,1,3,3
smother,15873,smother,sm^DX,1,0,1,1,0
smoulder,15874,smoulder,smoldX,1,0,1,1,0
smudge,15875,smudge,sm^J,4,4,0,1,3
smug,15876,smug,sm^g,8,6,2,3,5
smuggle,15877,smuggle,sm^gL,2,1,1,1,1
smut,15878,smut,sm^t,7,6,1,2,5
smutch,15879,smutch,sm^C,6,4,2,2,4
snack,15880,snack,sn@k,10,8,2,5,5
snaffle,15881,snaffle,sn@fL,2,2,0,2,0
snag,15882,snag,sn@g,9,7,2,5,4
snail,15883,snail,snel,5,3,2,4,1
snake,15884,snake,snek,6,5,1,3,3
snap,15885,snap,sn@p,9,7,2,3,6
snare,15887,snare,snEr,6,6,0,4,2
snarl,15888,snarl,snarl,1,0,1,1,0
snatch,15889,snatch,sn@C,4,4,0,0,4
sneak,15890,sneak,snik,7,5,2,3,4
sneaker,15891,sneaker,snikX,2,1,1,1,1
sneer,15892,sneer,snIr,11,9,2,6,5
sneeze,15893,sneeze,sniz,3,2,1,1,2
snicker,15894,snicker,snIkX,4,3,1,3,1
snide,15895,snide,snYd,3,2,1,2,1
sniff,15896,sniff,snIf,7,6,1,2,5
sniffle,15897,sniffle,snIfL,4,3,1,2,2
snigger,15898,snigger,snIgX,1,1,0,0,1
snip,15899,snip,snIp,11,8,3,4,7
snipe,15900,snipe,snYp,5,5,0,1,4
snippy,15901,snippy,snIpi,2,0,2,1,1
snitch,15902,snitch,snIC,7,6,1,3,4
snivel,15903,snivel,snIvL,3,2,1,2,1
snob,15904,snob,snab,4,2,2,3,1
snoop,15905,snoop,snup,9,8,1,5,4
snooze,15906,snooze,snuz,3,2,1,1,2
snore,15907,snore,snor,9,6,3,6,3
snort,15909,snort,snort,4,2,2,3,1
snout,15910,snout,snWt,3,3,0,3,0
snub,15911,snub,sn^b,6,4,2,3,3
snuff,15912,snuff,sn^f,6,5,1,2,4
snuffle,15913,snuffle,sn^fL,5,4,1,3,2
snug,15914,snug,sn^g,6,5,1,2,4
snuggle,15915,snuggle,sn^gL,3,2,1,1,2
soak,15916,soak,sok,23,18,5,18,5
soap,15917,soap,sop,21,17,4,16,5
soar,15919,soar,sor,32,22,10,24,8
sob,15920,sob,sab,18,16,2,13,5
sober,15921,sober,sobX,3,3,0,2,1
soccer,15924,soccer,sakX,6,5,1,3,3
sock,15934,sock,sak,26,22,4,19,7
socket,15935,socket,sak|t,6,6,0,6,0
sod,15936,sod,sad,20,17,3,13,7
soda,15937,soda,sodx,2,2,0,1,1
sodden,15938,sodden,sadN,4,3,1,2,2
soever,15940,soever,soEvX,1,0,1,1,0
sofa,15941,sofa,sofx,1,1,0,0,1
soft,15942,soft,scft,5,3,2,3,2
soggy,15945,soggy,sagi,3,3,0,0,3
soil,15946,soil,sOl,13,10,3,12,1
sojourn,15948,sojourn,soJRn,1,1,0,1,0
sol,15949,sol,sol,29,23,6,20,9
solar,15951,solar,solX,13,11,2,7,6
sold,15953,sold,sold,15,12,3,10,5
solder,15954,solder,sadX,7,6,1,4,3
soldier,15955,soldier,solJX,1,0,1,0,1
solely,15957,solely,soli,11,10,1,7,4
solicit,15964,solicit,sxlIs|t,1,0,1,1,0
solo,15972,solo,solo,9,7,2,5,4
solve,15978,solve,sclv,1,1,0,0,1
some,15983,some,s^m,23,19,4,16,7
son,15988,son,s^n,26,24,2,20,6
song,15991,song,scG,11,10,1,8,3
sonic,15992,sonic,sanIk,5,5,0,5,0
sonnet,15993,sonnet,san|t,3,3,0,3,0
soon,15996,soon,sun,24,21,3,18,6
soot,15997,soot,sUt,11,11,0,11,0
sooth,15998,sooth,suT,11,9,2,5,6
soothe,15999,soothe,suD,9,7,2,3,6
sop,16001,sop,sap,23,20,3,18,5
sorrel,16012,sorrel,scrL,4,3,1,4,0
sorrow,16013,sorrow,saro,3,3,0,2,1
sorry,16014,sorry,sari,4,4,0,1,3
sort,16015,sort,sort,14,8,6,10,4
sortie,16016,sortie,sorti,2,1,1,1,1
sot,16017,sot,sat,32,28,4,27,5
sough,16020,sough,sW,21,17,4,10,11
sought,16021,sought,sct,24,19,5,18,6
sound,16023,sound,sWnd,10,9,1,10,0
soup,16024,soup,sup,22,16,6,16,6
sour,16025,sour,sWr,10,7,3,7,3
source,16026,source,sors,8,7,1,5,3
souse,16027,souse,sWs,8,7,1,5,3
south,16028,south,sWT,5,4,1,2,3
soy,16037,soy,sO,13,12,1,4,9
spa,16038,spa,spa,6,3,3,1,5
space,16039,space,spes,6,4,2,2,4
spade,16042,spade,sped,9,7,2,3,6
span,16044,span,sp@n,9,8,1,2,7
spank,16049,spank,sp@Gk,4,3,1,4,0
spar,16050,spar,spar,12,8,4,3,9
spare,16051,spare,spEr,13,12,1,5,8
sparing,16052,sparing,sp@rIG,2,0,2,2,0
spark,16053,spark,spark,5,2,3,2,3
sparkle,16054,sparkle,sparkL,1,0,1,0,1
sparse,16056,sparse,spars,3,1,2,1,2
spat,16060,spat,sp@t,12,8,4,3,9
spate,16061,spate,spet,15,12,3,6,9
spatter,16063,spatter,sp@tX,5,2,3,4,1
spawn,16066,spawn,spcn,8,7,1,2,6
spay,16067,spay,spe,14,7,7,5,9
speak,16068,speak,spik,11,9,2,5,6
spear,16069,spear,spIr,15,13,2,7,8
speck,16080,speck,spEk,8,7,1,1,7
spectre,16084,spectre,spEktX,1,0,1,1,0
sped,16091,sped,spEd,11,8,3,3,8
speech,16092,speech,spiC,3,2,1,1,2
speed,16093,speed,spid,8,7,1,3,5
spell,16096,spell,spEl,9,8,1,3,6
spend,16098,spend,spEnd,5,3,2,3,2
spent,16100,spent,spEnt,3,1,2,2,1
sperm,16101,sperm,spRm,4,3,1,0,4
spew,16103,spew,spyu,3,1,2,2,1
sphere,16104,sphere,sfIr,6,4,2,6,0
spice,16110,spice,spYs,9,6,3,2,7
spider,16112,spider,spYdX,1,0,1,1,0
spike,16114,spike,spYk,10,8,2,1,9
spill,16115,spill,spIl,13,9,4,5,8
spilled,16116,spilled,spIld,3,2,1,1,2
spilt,16118,spilt,spIlt,6,3,3,3,3
spin,16119,spin,spIn,12,10,2,3,9
spinal,16121,spinal,spYnL,2,1,1,0,2
spine,16124,spine,spYn,18,13,5,6,12
spiral,16127,spiral,spYrL,2,1,1,0,2
spire,16128,spire,spYr,14,9,5,3,11
spit,16137,spit,spIt,16,11,5,4,12
spite,16138,spite,spYt,15,12,3,3,12
spittle,16139,spittle,spItL,1,0,1,0,1
splash,16141,splash,spl@S,2,0,2,2,0
splatter,16142,splatter,spl@tX,3,1,2,2,1
splay,16143,splay,sple,4,1,3,2,2
splice,16149,splice,splYs,2,0,2,1,1
splint,16150,splint,splInt,3,1,2,1,2
splinter,16151,splinter,splIntX,1,0,1,0,1
split,16152,split,splIt,3,0,3,1,2
splurge,16154,splurge,splRJ,1,0,1,1,0
splutter,16155,splutter,spl^tX,2,1,1,1,1
spoil,16156,spoil,spOl,6,3,3,1,5
spoiled,16157,spoiled,spOld,3,2,1,1,2
spoilt,16158,spoilt,spOlt,3,2,1,1,2
spoke,16159,spoke,spok,9,7,2,4,5
sponge,16163,sponge,sp^nJ,1,0,1,0,1
spoof,16168,spoof,spuf,3,3,0,0,3
spook,16169,spook,spuk,7,7,0,0,7
spool,16170,spool,spul,9,8,1,3,6
spoon,16171,spoon,spun,11,10,1,2,9
spoor,16172,spoor,spUr,5,5,0,0,5
spore,16174,spore,spor,13,10,3,6,7
sport,16175,sport,sport,7,3,4,6,1
spot,16177,spot,spat,13,10,3,5,8
spout,16179,spout,spWt,11,9,2,4,7
sprain,16180,sprain,spren,2,1,1,1,1
sprang,16181,sprang,spr@G,3,3,0,0,3
sprat,16182,sprat,spr@t,4,3,1,0,4
sprawl,16183,sprawl,sprcl,1,1,0,1,0
spray,16184,spray,spre,7,4,3,2,5
spread,16185,spread,sprEd,1,0,1,0,1
spree,16186,spree,spri,5,3,2,3,2
sprig,16187,sprig,sprIg,2,1,1,1,1
spring,16189,spring,sprIG,5,4,1,2,3
sprint,16192,sprint,sprInt,2,1,1,2,0
sprite,16193,sprite,sprYt,5,3,2,1,4
sprout,16195,sprout,sprWt,3,2,1,0,3
sprung,16197,sprung,spr^G,3,3,0,1,2
spry,16198,spry,sprY,5,2,3,1,4
spud,16199,spud,sp^d,6,6,0,2,4
spume,16200,spume,spyum,1,0,1,0,1
spun,16201,spun,sp^n,11,8,3,3,8
spunk,16202,spunk,sp^Gk,6,4,2,6,0
spur,16203,spur,spR,11,5,6,3,8
spurge,16204,spurge,spRJ,8,4,4,4,4
spurn,16206,spurn,spRn,12,11,1,2,10
spurt,16207,spurt,spRt,12,10,2,2,10
sputter,16208,sputter,sp^tX,4,2,2,4,0
spy,16210,spy,spY,15,6,9,5,10
squab,16211,squab,skwab,6,4,2,1,5
squabble,16212,squabble,skwabL,1,0,1,0,1
squad,16213,squad,skwad,5,4,1,1,4
squall,16216,squall,skwcl,4,3,1,1,3
squalor,16217,squalor,skwalX,1,0,1,1,0
square,16219,square,skwEr,3,1,2,1,2
squash,16220,squash,skwaS,5,3,2,2,3
squat,16221,squat,skwat,6,4,2,1,5
squaw,16222,squaw,skwc,2,0,2,0,2
squawk,16223,squawk,skwck,3,2,1,0,3
squeak,16224,squeak,skwik,3,3,0,0,3
squeal,16225,squeal,skwil,3,3,0,0,3
squeeze,16228,squeeze,skwiz,2,2,0,0,2
squib,16230,squib,skwIb,2,2,0,0,2
squid,16231,squid,skwId,4,2,2,1,3
squire,16233,squire,skwYr,4,2,2,3,1
squirm,16234,squirm,skwRm,2,2,0,0,2
squirrel,16235,squirrel,skwRL,2,2,0,0,2
squirt,16236,squirt,skwRt,5,3,2,1,4
stab,16237,stab,st@b,7,6,1,3,4
stable,16243,stable,stebL,4,2,2,3,1
stack,16245,stack,st@k,16,13,3,6,10
staff,16247,staff,st@f,5,5,0,0,5
stag,16248,stag,st@g,9,6,3,5,4
stage,16249,stage,steJ,11,8,3,2,9
stagger,16250,stagger,st@gX,4,3,1,1,3
stagy,16255,stagy,steJi,2,1,1,1,1
staid,16256,staid,sted,13,12,1,2,11
stain,16257,stain,sten,17,14,3,5,12
stair,16258,stair,stEr,12,10,2,5,7
stake,16259,stake,stek,17,14,3,4,13
stale,16261,stale,stel,17,14,3,4,13
stalk,16262,stalk,stck,9,7,2,1,8
stalked,16263,stalked,stckt,1,0,1,0,1
stall,16264,stall,stcl,10,9,1,3,7
stammer,16270,stammer,st@mX,3,3,0,0,3
stamp,16271,stamp,st@mp,4,3,1,3,1
stance,16273,stance,st@ns,1,1,0,0,1
stand,16276,stand,st@nd,3,1,2,2,1
stank,16282,stank,st@Gk,7,4,3,6,1
staple,16285,staple,stepL,3,3,0,2,1
star,16286,star,star,12,7,5,3,9
starch,16288,starch,starC,4,3,1,0,4
stark,16290,stark,stark,7,5,2,2,5
start,16292,start,start,7,4,3,2,5
startle,16293,startle,startL,1,0,1,0,1
starve,16295,starve,starv,4,3,1,0,4
state,16297,state,stet,16,12,4,6,10
statue,16307,statue,st@Cu,2,1,1,0,2
stature,16310,stature,st@CX,3,3,0,0,3
statute,16312,statute,st@Cut,1,0,1,0,1
stave,16314,stave,stev,10,8,2,2,8
stay,16316,stay,ste,17,7,10,4,13
stead,16317,stead,stEd,11,9,2,3,8
steady,16318,steady,stEdi,3,2,1,2,1
steal,16319,steal,stil,11,9,2,2,9
stealth,16320,stealth,stElT,1,1,0,0,1
steam,16321,steam,stim,8,5,3,3,5
steed,16322,steed,stid,10,9,1,3,7
steep,16324,steep,stip,10,8,2,3,7
steeple,16325,steeple,stipL,4,2,2,3,1
steer,16326,steer,stIr,15,12,3,7,8
stein,16329,stein,stYn,10,7,3,4,6
stellar,16330,stellar,stElX,2,1,1,1,1
stem,16331,stem,stEm,4,4,0,0,4
stencil,16333,stencil,stEnsL,1,0,1,1,0
step,16337,step,stEp,6,6,0,0,6
sterile,16346,sterile,stErL,1,0,1,0,1
stern,16352,stern,stRn,10,5,5,4,6
sternal,16353,sternal,stRnL,2,1,1,1,1
stew,16357,stew,stu,13,5,8,5,8
stick,16359,stick,stIk,18,13,5,4,14
sticky,16361,sticky,stIki,2,1,1,1,1
stiff,16362,stiff,stIf,10,9,1,3,7
stile,16368,stile,stYl,10,8,2,2,8
still,16370,still,stIl,17,14,3,5,12
stilt,16372,stilt,stIlt,7,3,4,4,3
stilton,16374,Stilton,stIltN,1,0,1,0,1
sting,16379,sting,stIG,14,10,4,6,8
stink,16381,stink,stIGk,6,3,3,4,2
stint,16382,stint,stInt,3,2,1,2,1
stipple,16384,stipple,stIpL,3,2,1,3,0
stir,16387,stir,stR,9,6,3,3,6
stitch,16389,stitch,stIC,7,7,0,2,5
stoat,16390,stoat,stot,10,8,2,2,8
stock,16391,stock,stak,12,9,3,2,10
stocky,16398,stocky,staki,4,2,2,2,2
stodgy,16400,stodgy,staJi,2,2,0,1,1
stoic,16401,stoic,stoIk,4,1,3,0,4
stoical,16402,stoical,stoIkL,1,0,1,0,1
stoke,16404,stoke,stok,19,13,6,4,15
stole,16405,stole,stol,15,11,4,2,13
stone,16412,stone,ston,14,11,3,4,10
stood,16413,stood,stUd,4,4,0,0,4
stooge,16414,stooge,stuJ,4,3,1,0,4
stool,16415,stool,stul,12,10,2,3,9
stoop,16416,stoop,stup,12,9,3,5,7
stop,16417,stop,stap,11,8,3,5,6
store,16420,store,stor,18,12,6,6,12
storied,16422,storied,storid,1,0,1,0,1
stork,16423,stork,stork,7,4,3,2,5
storm,16424,storm,storm,4,3,1,1,3
story,16425,story,stori,5,2,3,1,4
stout,16427,stout,stWt,6,5,1,4,2
stove,16428,stove,stov,8,6,2,0,8
stow,16429,stow,sto,14,6,8,3,11
strafe,16431,strafe,stref,4,3,1,0,4
straight,16433,straight,stret,8,4,4,1,7
straighten,16434,straighten,stretN,1,0,1,0,1
strain,16437,strain,stren,9,4,5,3,6
strand,16438,strand,str@nd,1,0,1,1,0
strange,16439,strange,strenJ,3,0,3,1,2
stranger,16440,stranger,strenJX,1,0,1,0,1
strap,16444,strap,str@p,6,4,2,3,3
straw,16455,straw,strc,3,2,1,0,3
stray,16456,stray,stre,10,4,6,4,6
streak,16457,streak,strik,6,6,0,0,6
stream,16458,stream,strim,6,5,1,1,5
street,16460,street,strit,6,5,1,1,5
stress,16465,stress,strEs,2,1,1,1,1
stretch,16466,stretch,strEC,1,1,0,0,1
strew,16467,strew,stru,6,3,3,2,4
strewn,16468,strewn,strun,2,1,1,0,2
stria,16469,stria,strix,3,3,0,0,3
stride,16475,stride,strYd,7,5,2,2,5
strife,16478,strife,strYf,5,5,0,0,5
strike,16479,strike,strYk,7,7,0,0,7
string,16480,string,strIG,7,4,3,1,6
stringer,16482,stringer,strIGX,2,1,1,0,2
stringy,16483,stringy,strIGi,2,1,1,0,2
strip,16484,strip,strIp,6,5,1,2,4
stripe,16485,stripe,strYp,8,7,1,1,7
strive,16487,strive,strYv,5,5,0,0,5
strode,16492,strode,strod,4,4,0,0,4
stroke,16493,stroke,strok,7,6,1,0,7
stroll,16494,stroll,strol,6,4,2,2,4
strong,16495,strong,strcG,3,2,1,0,3
strop,16500,strop,strap,4,3,1,0,4
strove,16503,strove,strov,5,4,1,0,5
struck,16504,struck,str^k,8,6,2,2,6
strum,16507,strum,str^m,4,4,0,0,4
strung,16509,strung,str^G,7,6,1,2,5
strut,16510,strut,str^t,5,5,0,0,5
stub,16512,stub,st^b,11,7,4,3,8
stubble,16513,stubble,st^bL,4,2,2,1,3
stubby,16515,stubby,st^bi,4,3,1,0,4
stucco,16516,stucco,st^ko,1,0,1,0,1
stuck,16517,stuck,st^k,16,11,5,3,13
stud,16518,stud,st^d,12,11,1,2,10
studied,16520,studied,st^did,1,0,1,0,1
study,16523,study,st^di,6,4,2,2,4
stuff,16524,stuff,st^f,10,8,2,2,8
stuffy,16525,stuffy,st^fi,3,2,1,0,3
stumble,16528,stumble,st^mbL,2,0,2,1,1
stump,16529,stump,st^mp,2,2,0,2,0
stun,16530,stun,st^n,13,10,3,3,10
stung,16531,stung,st^G,12,8,4,5,7
stunk,16532,stunk,st^Gk,8,5,3,6,2
stunt,16533,stunt,st^nt,2,1,1,1,1
stupor,16540,stupor,stupX,1,0,1,0,1
sturdy,16541,sturdy,stRdi,2,2,0,2,0
sturgeon,16542,sturgeon,stRJ|n,1,0,1,1,0
stutter,16543,stutter,st^tX,1,1,0,1,0
sty,16544,sty,stY,11,7,4,4,7
suave,16550,suave,swav,9,9,0,1,8
sub,16552,sub,s^b,17,15,2,11,6
subtile,16605,subtile,s^tL,5,4,1,3,2
subtly,16607,subtly,s^tli,1,0,1,1,0
succor,16619,succor,s^kX,8,7,1,3,5
succumb,16622,succumb,sxk^m,2,1,1,2,0
such,16623,such,s^C,12,11,1,6,6
suck,16625,suck,s^k,25,20,5,15,10
suckle,16626,suckle,s^kL,10,9,1,6,4
sudden,16631,sudden,s^dN,3,3,0,2,1
suds,16632,suds,s^dz,1,1,0,0,1
sue,16633,sue,su,34,26,8,20,14
suede,16634,suede,swed,7,5,2,3,4
suet,16635,suet,su|t,1,0,1,0,1
suffer,16636,suffer,s^fX,7,6,1,3,4
suit,16652,suit,sut,27,24,3,19,8
suite,16657,suite,swit,9,7,2,4,5
suiting,16658,suiting,sutIG,1,0,1,1,0
suitor,16659,suitor,sutX,7,5,2,4,3
sulfa,16660,sulfa,s^lfx,1,1,0,0,1
sulk,16663,sulk,s^lk,7,5,2,4,3
sullen,16664,sullen,s^lxn,2,2,0,2,0
sully,16665,sully,s^li,8,7,1,7,1
sulphur,16667,sulphur,s^lfX,2,1,1,0,2
sumach,16673,sumach,sum@k,1,0,1,1,0
summary,16676,summary,s^mXi,1,0,1,0,1
summer,16678,summer,s^mX,7,5,2,2,5
summit,16679,summit,s^mxt,1,1,0,0,1
summon,16680,summon,s^mxn,7,6,1,5,2
summons,16681,summons,s^mxnz,1,0,1,0,1
sundae,16683,sundae,s^nde,2,2,0,1,1
sunder,16684,sunder,s^ndX,6,4,2,5,1
sung,16688,sung,s^G,20,16,4,13,7
sunk,16689,sunk,s^Gk,17,11,6,14,3
sup,16693,sup,s^p,17,14,3,9,8
supine,16718,supine,sUpYn,1,0,1,1,0
supper,16719,supper,s^pX,7,4,3,2,5
supple,16721,supple,s^pL,6,5,1,2,4
supply,16728,supply,sxplY,1,0,1,1,0
support,16729,support,sxport,2,0,2,2,0
suppose,16730,suppose,sxpoz,2,0,2,1,1
supposed,16731,supposed,sxpozd,1,0,1,0,1
suppress,16734,suppress,sxprEs,1,0,1,1,0
sure,16742,sure,SUr,9,8,1,7,2
surgeon,16747,surgeon,sRJ|n,3,2,1,3,0
surgery,16748,surgery,sRJXi,1,1,0,1,0
surly,16750,surly,sRli,7,5,2,6,1
surrey,16760,surrey,sRi,13,9,4,6,7
surround,16762,surround,sXWnd,1,0,1,1,0
surtout,16764,surtout,sRtu,3,2,1,2,1
survey,16766,survey,sRve,3,2,1,1,2
suture,16776,suture,suCX,2,1,1,0,2
svelte,16778,svelte,svElt,2,1,1,2,0
swab,16779,swab,swab,10,8,2,3,7
swaddle,16780,swaddle,swadL,2,1,1,2,0
swag,16781,swag,sw@g,8,5,3,5,3
swage,16782,swage,sweJ,7,3,4,4,3
swagger,16783,swagger,sw@gX,2,1,1,1,1
swain,16785,swain,swen,12,9,3,6,6
swallow,16786,swallow,swalo,1,0,1,1,0
swam,16787,swam,sw@m,4,4,0,1,3
swamp,16788,swamp,swamp,1,0,1,0,1
swan,16789,swan,swan,11,10,1,1,10
swank,16790,swank,sw@Gk,3,2,1,3,0
swap,16792,swap,swap,14,12,2,3,11
sward,16793,sward,sword,7,4,3,3,4
swarm,16794,swarm,sworm,6,4,2,2,4
swart,16795,swart,swort,10,7,3,6,4
swash,16797,swash,swaS,10,9,1,2,8
swat,16799,swat,swat,16,13,3,7,9
swath,16800,swath,swaT,7,7,0,0,7
swathe,16801,swathe,swaD,7,7,0,0,7
sway,16802,sway,swe,9,4,5,5,4
swear,16803,swear,swEr,11,9,2,8,3
sweat,16804,sweat,swEt,9,5,4,3,6
sweater,16805,sweater,swEtX,3,0,3,1,2
swede,16806,swede,swid,8,6,2,5,3
sweep,16808,sweep,swip,9,7,2,4,5
sweeten,16811,sweeten,switN,1,0,1,0,1
swell,16813,swell,swEl,10,8,2,6,4
swelter,16814,swelter,swEltX,2,0,2,1,1
swept,16815,swept,swEpt,3,1,2,2,1
swerve,16817,swerve,swRv,3,2,1,1,2
swift,16818,swift,swIft,1,0,1,1,0
swig,16819,swig,swIg,10,9,1,3,7
swill,16820,swill,swIl,15,13,2,7,8
swim,16821,swim,swIm,11,11,0,3,8
swine,16823,swine,swYn,10,8,2,6,4
swing,16824,swing,swIG,12,10,2,5,7
swipe,16825,swipe,swYp,6,5,1,2,4
swirl,16826,swirl,swRl,5,5,0,2,3
swish,16827,swish,swIS,9,8,1,2,7
swiss,16828,Swiss,swIs,6,6,0,0,6
switch,16829,switch,swIC,11,10,1,5,6
swivel,16830,swivel,swIvL,2,1,1,2,0
swoon,16832,swoon,swun,6,5,1,2,4
swoop,16833,swoop,swup,10,9,1,6,4
sword,16834,sword,sord,13,11,2,9,4
swore,16836,swore,swor,11,5,6,6,5
sworn,16837,sworn,sworn,6,4,2,2,4
swum,16838,swum,sw^m,6,5,1,3,3
swung,16839,swung,sw^G,5,4,1,3,2
sylph,16851,sylph,sIlf,5,4,1,1,4
syringe,16889,syringe,sXInJ,1,0,1,1,0
t,16898,t,ti,33,23,10,19,14
tab,16899,tab,t@b,17,15,2,9,8
tabby,16900,tabby,t@bi,10,8,2,5,5
table,16902,table,tebL,9,7,2,8,1
tableau,16903,tableau,t@blo,1,0,1,1,0
tabour,16911,tabour,tebX,7,7,0,4,3
tacit,16917,tacit,t@s|t,1,1,0,1,0
tack,16920,tack,t@k,37,27,10,23,14
tackle,16921,tackle,t@kL,12,10,2,5,7
tacky,16922,tacky,t@ki,13,11,2,4,9
tact,16923,tact,t@kt,10,5,5,4,6
tactile,16926,tactile,t@ktL,4,1,3,2,2
taffy,16930,taffy,t@fi,5,5,0,1,4
tag,16931,tag,t@g,21,20,1,14,7
tail,16932,tail,tel,30,26,4,26,4
tailor,16934,tailor,telX,6,5,1,3,3
taint,16935,taint,tent,8,7,1,7,1
take,16936,take,tek,25,23,2,22,3
talc,16938,talc,t@lk,5,4,1,0,5
talent,16939,talent,t@l|nt,2,1,1,1,1
talk,16942,talk,tck,23,20,3,18,5
tall,16944,tall,tcl,27,22,5,22,5
tallow,16945,tallow,t@lo,10,8,2,8,2
tally,16946,tally,t@li,13,12,1,7,6
talon,16951,talon,t@l|n,3,2,1,2,1
tam,16952,tam,t@m,24,21,3,16,8
tame,16956,tame,tem,19,18,1,16,3
tamp,16957,tamp,t@mp,11,6,5,8,3
tamper,16958,tamper,t@mpX,5,4,1,3,2
tan,16959,tan,t@n,25,23,2,17,8
tang,16962,tang,t@G,18,16,2,10,8
tangle,16968,tangle,t@GgL,9,8,1,8,1
tango,16969,tango,t@Ggo,2,2,0,1,1
tank,16970,tank,t@Gk,16,11,5,11,5
tankard,16971,tankard,t@GkXd,1,0,1,0,1
tanker,16972,tanker,t@GkX,7,4,3,5,2
tanner,16973,tanner,t@nX,6,5,1,4,2
tannin,16974,tannin,t@n|n,3,3,0,3,0
tap,16980,tap,t@p,26,23,3,17,9
tape,16981,tape,tep,16,14,2,12,4
taper,16982,taper,tepX,7,6,1,4,3
taps,16987,taps,t@ps,7,4,3,5,2
tar,16989,tar,tar,20,16,4,15,5
tardy,16991,tardy,tardi,2,1,1,2,0
tare,16992,tare,tEr,23,20,3,20,3
tarn,16995,tarn,tarn,6,5,1,4,2
tarry,16999,tarry,t@ri,14,12,2,10,4
tart,17000,tart,tart,14,8,6,9,5
tartan,17001,tartan,tartN,5,4,1,3,2
tartar,17002,tartar,tartX,6,5,1,4,2
task,17004,task,t@sk,9,7,2,5,4
tassel,17005,tassel,t@sL,9,9,0,6,3
taste,17006,taste,test,9,8,1,7,2
tasty,17007,tasty,testi,2,1,1,1,1
tat,17008,tat,t@t,31,26,5,20,11
tatter,17009,tatter,t@tX,15,13,2,11,4
tatting,17011,tatting,t@tIG,2,2,0,2,0
tattle,17012,tattle,t@tL,14,12,2,9,5
tattoo,17013,tattoo,t@tu,3,2,1,0,3
taught,17014,taught,tct,22,19,3,16,6
taunt,17015,taunt,tcnt,12,11,1,10,2
taupe,17016,taupe,top,23,19,4,14,9
taurus,17017,Taurus,tcr|s,2,1,1,1,1
taw,17019,taw,tc,22,16,6,11,11
tawny,17021,tawny,tcni,5,5,0,4,1
tax,17022,tax,t@ks,9,6,3,3,6
taxi,17024,taxi,t@ksi,2,0,2,0,2
tb,17030,TB,tibi,4,4,0,1,3
teach,17031,teach,tiC,13,11,2,6,7
teak,17032,teak,tik,28,25,3,21,7
teal,17033,teal,til,30,27,3,23,7
team,17034,team,tim,19,17,2,12,7
tease,17037,tease,tiz,16,12,4,7,9
teasel,17038,teasel,tizL,4,2,2,3,1
teat,17040,teat,tIt,31,25,6,21,10
teens,17053,teens,tinz,3,2,1,1,2
teeny,17054,teeny,tini,11,11,0,7,4
teeter,17055,teeter,titX,6,6,0,6,0
teeth,17056,teeth,tiT,12,11,1,5,7
teethe,17057,teethe,tiD,11,10,1,4,7
tell,17079,tell,tEl,21,20,1,19,2
temper,17084,temper,tEmpX,5,4,1,1,4
temple,17092,temple,tEmpL,4,3,1,0,4
tempo,17094,tempo,tEmpo,3,3,0,0,3
temporal,17095,temporal,tEmpXL,2,0,2,0,2
tempt,17099,tempt,tEmpt,4,3,1,1,3
ten,17102,ten,tEn,27,22,5,21,6
tenant,17108,tenant,tEn|nt,3,1,2,1,2
tend,17109,tend,tEnd,16,11,5,11,5
tender,17111,tender,tEndX,7,5,2,4,3
tendon,17116,tendon,tEnd|n,2,1,1,0,2
tenet,17119,tenet,tEn|t,6,4,2,2,4
tennis,17121,tennis,tEn|s,4,3,1,1,3
tenon,17122,tenon,tEn|n,7,4,3,2,5
tenor,17123,tenor,tEnX,9,6,3,1,8
tense,17126,tense,tEns,12,9,3,6,6
tensile,17127,tensile,tEnsL,5,3,2,4,1
tension,17128,tension,tEnC|n,6,4,2,4,2
tent,17130,tent,tEnt,19,17,2,13,6
tenure,17137,tenure,tEnyX,2,1,1,0,2
tepee,17138,tepee,tipi,3,3,0,0,3
term,17144,term,tRm,13,13,0,9,4
tern,17152,tern,tRn,19,17,2,15,4
terrain,17154,terrain,tXen,4,4,0,3,1
terrier,17158,terrier,tEriX,1,0,1,0,1
terror,17163,terror,tErX,5,2,3,1,4
terse,17164,terse,tRs,11,11,0,7,4
test,17167,test,tEst,18,14,4,14,4
tester,17172,tester,tEstX,5,3,2,3,2
testes,17173,testes,tEstiz,1,0,1,0,1
testy,17179,testy,tEsti,5,3,2,2,3
tether,17182,tether,tEDX,7,7,0,5,2
text,17185,text,tEkst,2,1,1,1,1
thai,17190,Thai,tY,34,22,12,18,16
than,17192,than,D@n,12,11,1,11,1
thane,17193,thane,Ten,14,14,0,14,0
