node,ortho,phono
3937,coppice,kapxs
3939,copse,kaps
3943,copy,kapi
3946,coracle,kcrxkL
3947,coral,kcrL
3948,corbel,korbL
3949,cordial,korJL
3951,cordially,korJLi
3954,cordon,kordN
3958,core,kor
3960,cork,kork
3962,corn,korn
3963,cornea,kornix
3964,corner,kornX
3967,cornice,korn|s
3970,corny,korni
3971,corolla,kXolx
3973,corona,kXonx
3974,coronal,kcrxnL
3977,coroner,kcrxnX
3983,corpse,korps
3985,corpus,korpxs
3987,corral,kX@l
3993,corridor,kcrxdX
3996,corrode,kXod
4016,cosmic,kazmIk
4023,cost,kcst
4027,cot,kat
4028,coterie,kotXi
4031,cottage,katIJ
4032,cottar,katX
4033,cotton,katN
4036,couch,kWC
4038,cougar,kugX
4039,cough,kcf
4040,could,kUd
4041,council,kWnsL
4042,count,kWnt
